YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2020,Terence Davis,G,Toronto Raptors,0.456,7.5,3.3,1.6,0.2
2020,Rui Hachimura,F,Washington Wizards,0.466,13.5,6.1,1.8,0.2
2020,P.J. Washington,F,Charlotte Hornets,0.455,12.2,5.4,2.1,0.8
2020,Coby White,G,Chicago Bulls,0.394,13.2,3.5,2.7,0.1
2020,Tyler Herro,G,Miami Heat,0.428,13.5,4.1,2.2,0.2
2019,Landry Shamet,G,LA Clippers,0.431,9.1,1.7,1.5,0.1
2019,Kevin Huerter,G,Atlanta Hawks,0.419,9.7,3.3,2.9,0.3
2019,Collin Sexton,G,Cleveland Cavaliers,0.43,16.7,2.9,3,0.1
2019,Shai Gilgeous-Alexander,G,LA Clippers,0.476,10.8,2.8,3.3,0.5
2019,Mitchell Robinson,C,New York Knicks,0.694,7.3,6.4,0.6,2.4
2018,Bogdan Bogdanovic,G,Sacramento Kings,0.446,11.8,2.9,3.3,0.2
2018,John Collins,F,Atlanta Hawks,0.576,10.5,7.3,1.3,1.1
2018,Dennis Smith,G,Dallas Mavericks,0.395,15.2,3.8,5.2,0.3
2018,Josh Jackson,F,Phoenix Suns,0.417,13.1,4.6,1.5,0.5
2018,Lonzo Ball,G,Los Angeles Lakers,0.36,10.2,6.9,7.2,0.8
2017,Yogi Ferrell,G,Dallas Mavericks,0.406,10,2.4,3.7,0.2
2017,Marquese Chriss,F,Phoenix Suns,0.449,9.2,4.2,0.7,0.9
2017,Brandon Ingram,F,Los Angeles Lakers,0.402,9.4,4,2.1,0.5
2017,Jaylen Brown,F,Boston Celtics,0.454,6.6,2.8,0.8,0.2
2017,Jamal Murray,G,Denver Nuggets,0.404,9.9,2.6,2.1,0.3
2016,Willie Cauley-Stein,F,Sacramento Kings,0.563,7,5.3,0.6,1
2016,Myles Turner,F,Indiana Pacers,0.498,10.3,5.5,0.7,1.4
2016,Justise Winslow,F,Miami Heat,0.422,6.4,5.2,1.5,0.3
2016,D'Angelo Russell,G,Los Angeles Lakers,0.41,13.2,3.4,3.3,0.2
2016,Emmanuel Mudiay,G,Denver Nuggets,0.364,12.8,3.4,5.5,0.5
2015,Bojan Bogdanovic,F,Brooklyn Nets,0.453,9,2.7,0.9,0.1
2015,Langston Galloway,G,New York Knicks,0.399,11.8,4.2,3.3,0.3
