"","Team","Player","College","Play_Yrs","Games","Year","Pick"
"1679","NYK","Tony Gennari","Canisius College",NA,NA,1964,35
"1680","DET","Ray Wolford","University of Toledo",NA,NA,1964,36
"1681","BAL","Bennie Lennox","Texas A&M University",NA,NA,1964,37
"1682","PHI","Lou Skurcenski","Westminster College of Pennsylvania",NA,NA,1964,38
"1683","LAL","John Savage","University of North Texas",NA,NA,1964,39
"1684","STL","John Tresvant","Seattle University",9,559,1964,40
"1685","SFW","Roger Suttner","Kansas State University",NA,NA,1964,41
"1686","CIN","George Kirk","University of Memphis",NA,NA,1964,42
"1687","BOS","Nick Werkman","Seton Hall University",NA,NA,1964,43
"1688","NYK","Tom Lavelle","Western Carolina University",NA,NA,1964,44
"1689","DET","Larry Phillips","Rice University",NA,NA,1964,45
"1690","BAL","Bobby Joe Edmonds","Tennessee State University",NA,NA,1964,46
"1691","PHI","Ricky Kaminsky","Yale University",NA,NA,1964,47
"1692","LAL","Troy Collier","Utah State University",NA,NA,1964,48
"1693","STL","Ernest Brock","Virginia State University",NA,NA,1964,49
"1694","SFW","Ray Carey","University of Missouri",NA,NA,1964,50
"1695","CIN","Al Thresher","Wittenberg University",NA,NA,1964,51
"1696","BOS","Levern Tart","Bradley University",NA,NA,1964,52
"1697","NYK","Em Bryant","DePaul University",8,566,1964,53
"1698","DET","Jerry Jackson","Ohio University",NA,NA,1964,54
"1699","BAL","Ron Miller","Loyola University of Chicago",NA,NA,1964,55
"1700","PHI","Gordon Hatton","University of Dayton",NA,NA,1964,56
"1701","LAL","Steve Anstett","University of Portland",NA,NA,1964,57
"1702","STL","Maurice McHartley","North Carolina Agricultural and Technical State University",NA,NA,1964,58
"1703","SFW","David Lee","University of San Francisco",NA,NA,1964,59
"1704","CIN","Vic Rouse","Loyola University of Chicago",NA,NA,1964,60
"1705","BOS","Rich Falk","Northwestern University",NA,NA,1964,61
"1706","NYK","Jim Boutin","Lewis and Clark College",NA,NA,1964,62
"1707","DET","Ralph Telken","Rockhurst University",NA,NA,1964,63
"1708","BAL","Danny Schultz","University of Tennessee",NA,NA,1964,64
"1709","PHI","Bob Pelkington","Xavier University",NA,NA,1964,65
"1710","LAL","Jay Buckley","Duke University",NA,NA,1964,66
"1711","STL","Kendall Rhine","Rice University",NA,NA,1964,67
"1712","SFW","Bob Garibaldi","Santa Clara University",NA,NA,1964,68
"1713","CIN","Joe Gieger","Xavier University",NA,NA,1964,69
"1714","BOS","Jeff Blue","Butler University",NA,NA,1964,70
"1715","NYK","Jack Brens","University of Wisconsin",NA,NA,1964,71
"1716","BAL","Tom Black","South Dakota State University",1,71,1964,72
"1717","PHI","Jim Brennan","Clemson University",NA,NA,1964,73
"1718","STL","Darel Carrier","Western Kentucky University",NA,NA,1964,74
"1719","SFW","Camden Wail","University of California",NA,NA,1964,75
"1720","CIN","Scotty Pierce","West Texas A&M University",NA,NA,1964,76
"1721","BOS","Charles Kelley","West Virginia University Institute of Technology",NA,NA,1964,77
"1722","NYK","Jim Christy","Georgetown University",NA,NA,1964,78
"1723","BAL","Bill Kusleika","University of Tulsa",NA,NA,1964,79
"1724","PHI","Wally Briggs","North Carolina Agricultural and Technical State University",NA,NA,1964,80
"1725","STL","Frank Stephens","Virginia State University",NA,NA,1964,81
"1726","SFW","Jeff Cartwright","Chapman University",NA,NA,1964,82
"1727","CIN","Bob Neumann","University of Memphis",NA,NA,1964,83
"1728","BOS","Duane Corribeau","Clark University",NA,NA,1964,84
"1729","NYK","Dennis Lynch","Yale University",NA,NA,1964,85
"1730","BAL","Fred Glover","Winston-Salem State University",NA,NA,1964,86
"1731","PHI","Thomas Lowry","West Virginia University",NA,NA,1964,87
"1732","STL","Gerald Govan","Saint Mary of the Plains College",NA,NA,1964,88
"1733","CIN","Jim Reynolds","Abilene Christian University",NA,NA,1964,89
"1734","BAL","Frank Kaminski","Randolph-Macon College",NA,NA,1964,90
"1735","PHI","Julius Myers","Morris Brown College",NA,NA,1964,91
"1736","STL","Warren Sutton","Sir George Williams University",NA,NA,1964,92
"1737","CIN","Fred Jones","Youngstown State University",NA,NA,1964,93
"1738","BAL","Doug Moon","University of Utah",NA,NA,1964,94
"1739","STL","Cecil Tuttle","Georgetown College",NA,NA,1964,95
"1740","BAL","Pete Gent","Michigan State University",NA,NA,1964,96
"1741","STL","Bill Blair","Virginia Military Institute",NA,NA,1964,97
"1742","BAL","Sandy Williams","Saint Francis University",NA,NA,1964,98
"1743","STL","Al Cech","University of Detroit Mercy",NA,NA,1964,99
"1744","DET","Bill Buntin","University of Michigan",1,42,1964,100
"1745","LAL","Gail Goodrich","University of California, Los Angeles",14,1031,1964,101
"1746","NYK","Bill Bradley","Princeton University",10,742,1964,102
"1747","SFW","Fred Hetzel","Davidson College",6,416,1965,1
"1748","SFW","Rick Barry","University of Miami",10,794,1965,2
"1749","NYK","Dave Stallworth","Wichita State University",8,522,1965,3
"1750","BAL","Jerry Sloan","University of Evansville",11,755,1965,4
"1751","PHI","Billy Cunningham","University of North Carolina",9,654,1965,5
"1752","STL","Jim Washington","Villanova University",11,774,1965,6
"1753","CIN","Nate Bowman","Wichita State University",5,243,1965,7
"1754","BOS","Ollie Johnson","University of San Francisco",NA,NA,1965,8
"1755","SFW","Will Frazier","Grambling State University",1,2,1965,9
"1756","NYK","Dick Van Arsdale","Indiana University",12,921,1965,10
"1757","DET","Tom Van Arsdale","Indiana University",12,929,1965,11
"1758","BAL","Tal Brody","University of Illinois at Urbana-Champaign",NA,NA,1965,12
"1759","PHI","Jesse Branson","Elon University",1,5,1965,13
"1760","NYK","Hal Blevins","University of Arkansas at Pine Bluff",NA,NA,1965,14
"1761","CIN","Flynn Robinson","University of Wyoming",7,494,1965,15
"1762","LAL","John Fairchild","Brigham Young University",1,30,1965,16
"1763","BOS","Ron Watts","Wake Forest University",2,28,1965,17
"1764","SFW","Keith Erickson","University of California, Los Angeles",12,766,1965,18
"1765","NYK","Barry Clemens","Ohio Wesleyan University",11,790,1965,19
"1766","DET","Ron Reed","University of Notre Dame",2,119,1965,20
"1767","BAL","Joe Newton","Auburn University",NA,NA,1965,21
"1768","PHI","Bob Weiss","Pennsylvania State University",12,783,1965,22
"1769","STL","Ken McIntyre","St. John's University",NA,NA,1965,23
"1770","CIN","Jon McGlocklin","Indiana University",11,792,1965,24
"1771","LAL","Jim Caldwell","Georgia Institute of Technology",NA,2,1965,25
"1772","BOS","Toby Kimball","University of Connecticut",9,571,1965,26
"1773","SFW","Warren Rustand","University of Arizona",NA,NA,1965,27
"1774","NYK","Larry Lembo","Manhattan College",NA,NA,1965,28
"1775","DET","Jim King","Oklahoma State University",NA,NA,1965,29
"1776","BAL","Skip Thoren","University of Illinois at Urbana-Champaign",NA,NA,1965,30
"1777","PHI","Hank Finkel","University of Dayton",9,551,1965,31
"1778","STL","Lynn Nance","University of Washington",NA,NA,1965,32
"1779","CIN","Bob Love","Southern University and A&M College",11,789,1965,33
"1780","LAL","Brooks Henderson","University of Florida",NA,NA,1965,34
"1781","BOS","Richie Tarrant","Saint Michael's College",NA,NA,1965,35
"1782","SFW","Eddie Jackson","Oklahoma City University",NA,NA,1965,36
"1783","NYK","Steve Nisenson","Hofstra University",NA,NA,1965,37
"1784","DET","Ted Manning","North Carolina Central University",NA,NA,1965,38
"1785","BAL","Charles Dinkens","Miami University",NA,NA,1965,39
"1786","PHI","Richie Moore","Villanova University",NA,NA,1965,40
"1787","STL","Theodore Werner","Washington State University",NA,NA,1965,41
"1788","CIN","Warren Isaac","Iona College",NA,NA,1965,42
"1789","LAL","A.W. Davis","University of Tennessee",NA,NA,1965,43
"1790","BOS","Don Davidson","Davidson College",NA,NA,1965,44
"1791","SFW","Jim Jarvis","Oregon State University",NA,NA,1965,45
"1792","NYK","Warren Davis","North Carolina Agricultural and Technical State University",NA,NA,1965,46
"1793","DET","Barry Smith","High Point University",NA,NA,1965,47
"1794","BAL","Lavonne LeFlore","Jackson State University",NA,NA,1965,48
"1795","PHI","Mitch Edwards","University of Texas-Pan American",NA,NA,1965,49
"1796","STL","John Rambo","California State University, Long Beach",NA,NA,1965,50
"1797","CIN","Leon Clements","Ouachita Baptist University",NA,NA,1965,51
"1798","LAL","Theo Cruz","Seattle University",NA,NA,1965,52
"1799","BOS","Haskell Tison","Duke University",NA,NA,1965,53
"1800","SFW","Dan Wolters","University of California",NA,NA,1965,54
"1801","NYK","Dale Neel","High Point University",NA,NA,1965,55
"1802","BAL","Willie Somerset","Duquesne University",1,8,1965,56
"1803","PHI","John Young","Midwestern State University",NA,NA,1965,57
"1804","STL","Terry Kunze","University of Minnesota",NA,NA,1965,58
"1805","CIN","Jeff Gehring","Miami University",NA,NA,1965,59
"1806","LAL","Dwayne Cruze","Idaho State University",NA,NA,1965,60
"1807","BOS","George Deehan","Lenoir-Rhyne College",NA,NA,1965,61
"1808","SFW","Willie Cotton","Central State University",NA,NA,1965,62
"1809","NYK","Frank Granat","Alliance College",NA,NA,1965,63
"1810","BAL","Jim Murphy","DePaul University",NA,NA,1965,64
"1811","PHI","Bob Barnek","St. Bonaventure University",NA,NA,1965,65
"1812","STL","Cincinnatus Powell","University of Portland",NA,NA,1965,66
"1813","CIN","Jim Fox","University of South Carolina",10,743,1965,67
"1814","LAL","George Unseld","University of Kansas",NA,NA,1965,68
"1815","NYK","Jay Neary","University of North Carolina at Wilmington",NA,NA,1965,69
"1816","BAL","John Wendelkin","College of the Holy Cross",NA,NA,1965,70
"1817","PHI","Gene West","Drake University",NA,NA,1965,71
"1818","STL","Leroy Walker","Utah State University",NA,NA,1965,72
"1819","CIN","Ron Krick","University of Cincinnati",NA,NA,1965,73
"1820","LAL","Marlbert Pradd","Dillard University",NA,NA,1965,74
"1821","NYK","Wayne Molis","Lewis University",1,13,1965,75
"1822","BAL","Bogie Redmon","University of Illinois at Urbana-Champaign",NA,NA,1965,76
"1823","PHI","Dean Church","University of Louisiana at Lafayette",NA,NA,1965,77
"1824","STL","Spencer Carlson","Baylor University",NA,NA,1965,78
"1825","CIN","Richie Dec","Seton Hall University",NA,NA,1965,79
"1826","LAL","Don Rae","Montana State University",NA,NA,1965,80
"1827","NYK","Bill Meyer","Hiram College",NA,NA,1965,81
"1828","BAL","Thales McReynolds","Miles College",1,5,1965,82
"1829","PHI","Curt Fromal","La Salle University",NA,NA,1965,83
"1830","STL","Weldon Kytle","Cleveland State University",NA,NA,1965,84
"1831","CIN","Dick Maile","Louisiana State University",NA,NA,1965,85
"1832","LAL","Bob Andrews","University of Alabama",NA,NA,1965,86
"1833","NYK","Bob Trupin","Yale University",NA,NA,1965,87
"1834","BAL","Walt Sahm","University of Notre Dame",NA,NA,1965,88
"1835","PHI","Dan Anderson","Augsburg College",NA,NA,1965,89
"1836","STL","Elton McGriff","Creighton University",NA,NA,1965,90
"1837","CIN","Robert McCollough","Benedict College",NA,NA,1965,91
"1838","NYK","Dennis McGovern","University of Rhode Island",NA,NA,1965,92
"1839","BAL","Joe Ramsey","Southern Illinois University",NA,NA,1965,93
"1840","PHI","Rich Parks","University of Tulsa",NA,NA,1965,94
"1841","STL","Mel Northway","University of Minnesota",NA,NA,1965,95
"1842","CIN","Oliver Jones","Albany State University",NA,NA,1965,96
"1843","BAL","Jerry Rook","Arkansas State University",NA,NA,1965,97
"1844","PHI","Jack Morgenthal","University of Houston",NA,NA,1965,98
"1845","STL","Terry Page","University of Detroit Mercy",NA,NA,1965,99
"1846","CIN","Larry Franks","University of Texas at Austin",NA,NA,1965,100
"1847","BAL","Dave Hicks",NA,NA,NA,1965,101
"1848","PHI","James Pitts","University of Georgia",NA,NA,1965,102
"1849","STL","George Pomey","University of Michigan",NA,NA,1965,103
"1850","CIN","Ronald Scharf","Georgia Institute of Technology",NA,NA,1965,104
"1851","BAL","Bunk Adams","Ohio University",NA,NA,1965,105
"1852","PHI","Larry Rafferty","Fairfield University",NA,NA,1965,106
"1853","STL","Bob Tolan","Eastern Kentucky University",NA,NA,1965,107
"1854","CIN","Willie Porter","Tennessee State University",NA,NA,1965,108
"1855","BAL","Roger Taylor","University of Illinois at Urbana-Champaign",NA,NA,1965,109
"1856","NYK","Cazzie Russell","University of Michigan",12,817,1966,1
"1857","DET","Dave Bing","Syracuse University",12,901,1966,2
"1858","SFW","Clyde Lee","Vanderbilt University",10,742,1966,3
"1859","STL","Lou Hudson","University of Minnesota",13,890,1966,4
"1860","BAL","Jack Marin","Duke University",11,849,1966,5
"1861","CIN","Walt Wesley","University of Kansas",10,590,1966,6
"1862","LAL","Jerry Chambers","University of Utah",4,239,1966,7
"1863","BOS","Jim Barnett","University of Oregon",11,732,1966,8
"1864","PHI","Matt Guokas","Saint Joseph's University",10,735,1966,9
"1865","CHI","Dave Schellhase","Purdue University",2,73,1966,10
"1866","NYK","Henry Akin","Morehead State University",2,86,1966,11
"1867","DET","Dorie Murrey","University of Detroit Mercy",6,357,1966,12
"1868","SFW","Joe Ellis","University of San Francisco",8,524,1966,13
"1869","STL","Dick Snyder","Davidson College",13,964,1966,14
"1870","BAL","Neil Johnson","Creighton University",4,202,1966,15
"1871","CIN","Jerry Lee Wells","Oklahoma City University",NA,NA,1966,16
"1872","LAL","Hank Finkel","University of Dayton",9,551,1966,17
"1873","BOS","Leon Clark","University of Wyoming",NA,NA,1966,18
"1874","PHI","Bill Melchionni","Villanova University",2,144,1966,19
"1875","CHI","Erwin Mueller","University of San Francisco",6,425,1966,20
"1876","NYK","Stew Johnson","Murray State University",NA,NA,1966,21
"1877","DET","Ollie Darden","University of Michigan",NA,NA,1966,22
"1878","SFW","Stephen Chubin","University of Rhode Island",NA,NA,1966,23
"1879","STL","Tommy Kron","University of Kentucky",3,184,1966,24
"1880","BAL","Dave Wagnon","Idaho State University",NA,NA,1966,25
"1881","CIN","Jim Ware","Oklahoma City University",2,63,1966,26
"1882","LAL","John Block","University of Southern California",10,597,1966,27
"1883","BOS","Gary Turner","Texas Christian University",NA,NA,1966,28
"1884","PHI","Donnie Freeman","University of Illinois at Urbana-Champaign",1,64,1966,29
"1885","CHI","Ed Bodkin","Eastern Kentucky University",NA,NA,1966,30
"1886","NYK","Lee DeFore","Auburn University",NA,NA,1966,31
"1887","DET","Jeffrey Congdon","Brigham Young University",NA,NA,1966,32
"1888","SFW","Stephen Vacendak","Duke University",NA,NA,1966,33
"1889","STL","Bob McIntyre","St. John's University",NA,NA,1966,34
"1890","BAL","George Peeples","University of Iowa",NA,NA,1966,35
"1891","CIN","Charles Schmaus","Virginia Military Institute",NA,NA,1966,36
"1892","LAL","Archie Clark","University of Minnesota",10,725,1966,37
"1893","BOS","Johnny Austin","Boston College",1,4,1966,38
"1894","PHI","Ken Wilburn","Central State University",1,7,1966,39
"1895","CHI","Jim Williams","Temple University",NA,NA,1966,40
"1896","NYK","Ron Jackson","Clark Atlanta University",NA,NA,1966,41
"1897","DET","William Pickens","Georgia Southern University",NA,NA,1966,42
"1898","SFW","Tom Kerwin","Centenary College of Louisiana",NA,NA,1966,43
"1899","STL","Dick Nemelka","Brigham Young University",NA,NA,1966,44
"1900","BAL","John Beasley","Texas A&M University",NA,NA,1966,45
"1901","BAL","John Jones","Louisiana State University",NA,NA,1966,46
"1902","CIN","Richard Parks","Saint Louis University",NA,NA,1966,47
"1903","LAL","Stan Washington","Michigan State University",NA,NA,1966,48
"1904","PHI","Tom Duff","Saint Joseph's University",NA,NA,1966,49
"1905","CHI","Larry Humes","University of Evansville",NA,NA,1966,50
"1906","NYK","George Fisher","University of Utah",NA,NA,1966,51
"1907","DET","Carroll Hooser","Southern Methodist University",NA,NA,1966,52
"1908","SFW","Jim Pitts","Northwestern University",NA,NA,1966,53
"1909","STL","Lonnie Wright","Colorado State University",NA,NA,1966,54
"1910","BAL","Jeff Newman","University of Pennsylvania",NA,NA,1966,55
"1911","CIN","Steve Cunningham","Western Kentucky University",NA,NA,1966,56
"1912","LAL","Keith Thomas","Vanderbilt University",NA,NA,1966,57
"1913","BOS","Charlie Hunter","Oklahoma City University",NA,NA,1966,58
"1914","PHI","Red Robbins","University of Tennessee",NA,NA,1966,59
"1915","NYK","Mike Dabich","New Mexico State University",NA,NA,1966,60
"1916","DET","Ted Manning","North Carolina Central University",NA,NA,1966,61
"1917","SFW","Lon Hughey","California State University, Fresno",NA,NA,1966,62
"1918","STL","Jay Neary","University of North Carolina at Wilmington",NA,NA,1966,63
"1919","BAL","Dave Mills","DePaul University",NA,NA,1966,64
"1920","CIN","Gary Schull","Florida State University",NA,NA,1966,65
"1921","LAL","Tab Jackson","Albertson College of Idaho",NA,NA,1966,66
"1922","BOS","Jerry Ward","University of Maryland",NA,NA,1966,67
"1923","CHI","John Comeaux","Grambling State University",NA,NA,1966,68
"1924","NYK","Mike Silliman","United States Military Academy",1,36,1966,69
"1925","DET","George McNeil","Southern Illinois University",NA,NA,1966,70
"1926","SFW","Ken Washington","University of California, Los Angeles",NA,NA,1966,71
"1927","STL","Brian Williams","Xavier University",NA,NA,1966,72
"1928","BAL","Roland West","University of Cincinnati",1,4,1966,73
"1929","CIN","Ron Krick","University of Cincinnati",NA,NA,1966,74
"1930","LAL","John Wetzel","Virginia Polytechnic Institute and State University",7,357,1966,75
"1931","BOS","Russ Gumina","University of San Francisco",NA,NA,1966,76
"1932","CHI","Bill Curtis","Michigan State University",NA,NA,1966,77
"1933","NYK","Bill Turner","University of Akron",6,294,1966,78
"1934","STL","Al Grant","Long Island University",NA,NA,1966,79
"1935","BAL","Chuck Gardner","University of Colorado",NA,NA,1966,80
"1936","CIN","Billy Smith","Loyola University of Chicago",NA,NA,1966,81
"1937","LAL","Julian Hammond","University of Tulsa",NA,NA,1966,82
"1938","PHI","Pat Caldwell","Rockhurst University",NA,NA,1966,83
"1939","CHI","Gene Summers","Northern Michigan University",NA,NA,1966,84
"1940","NYK","Richard Moore","Hiram Scott College",NA,NA,1966,85
"1941","STL","Don Yates","University of Minnesota",NA,NA,1966,86
"1942","BAL","Guy Manning","Prairie View A&M University",NA,NA,1966,87
"1943","CIN","Freddie Lewis","Arizona State University",2,64,1966,88
"1944","LAL","Mike Rooney","University of Oklahoma",NA,NA,1966,89
"1945","PHI","Bob Bedell","Stanford University",NA,NA,1966,90
"1946","CHI","Don Swanson","DePaul University",NA,NA,1966,91
"1947","NYK","Rich Dyer","New York University",NA,NA,1966,92
"1948","STL","Curt Gammell","Pacific Lutheran University",NA,NA,1966,93
"1949","BAL","Stan McKenzie","New York University",7,396,1966,94
"1950","CIN","R.B. Lynam","Oklahoma Baptist University",NA,NA,1966,95
"1951","LAL","George Grams","Purdue University",NA,NA,1966,96
"1952","CHI","Carver Clinton","Pennsylvania State University",NA,NA,1966,97
"1953","NYK","Dave Deutsch","University of Rochester",1,19,1966,98
"1954","STL","Lonnie Lynn","Wilberforce University",NA,NA,1966,99
"1955","BAL","Grant Simmons","University of Nebraska",NA,NA,1966,100
"1956","NYK","Bob Bennett","University of North Carolina",NA,NA,1966,101
"1957","STL","Nick Aloi","Bowling Green State University",NA,NA,1966,102
"1958","BAL","Al Lopes","University of Kansas",NA,NA,1966,103
"1959","STL","Ollie Carter","University of San Francisco",NA,NA,1966,104
"1960","BAL","Jim Harter","University of Texas-Pan American",NA,NA,1966,105
"1961","STL","Paul Long","Wake Forest University",3,71,1966,106
"1962","BAL","Howard Bayne","University of Tennessee",NA,NA,1966,107
"1963","STL","Eddie Jackson","Bradley University",NA,NA,1966,108
"1964","BAL","Ken Barnes","University of Wisconsin",NA,NA,1966,109
"1965","BAL","Chris Pervall","University of Iowa",NA,NA,1966,110
"1966","BAL","Jerry Trice","Weber State University",NA,NA,1966,111
"1967","BAL","Gene Visscher","Weber State University",NA,NA,1966,112
"1968","DET","Jimmy Walker","Providence College",9,698,1967,1
"1969","BAL","Earl Monroe","Winston-Salem State University",13,926,1967,2
"1970","CHI","Clem Haskins","Western Kentucky University",9,681,1967,3
"1971","DET","Sonny Dove","St. John's University",2,57,1967,4
"1972","NYK","Walt Frazier","Southern Illinois University",13,825,1967,5
"1973","SEA","Al Tucker","Oklahoma Baptist University",3,257,1967,6
"1974","SDR","Pat Riley","University of Kentucky",9,528,1967,7
"1975","STL","Tom Workman","Seattle University",2,43,1967,8
"1976","CIN","Mel Daniels","University of New Mexico",1,11,1967,9
"1977","SFW","Dave Lattin","University of Texas at El Paso",2,112,1967,10
"1978","BOS","Mal Graham","New York University",2,70,1967,11
"1979","PHI","Craig Raymond","Brigham Young University",1,27,1967,12
"1980","BAL","Jimmy Jones","Grambling State University",3,140,1967,13
"1981","DET","Steve Sullivan","Georgetown University",NA,NA,1967,14
"1982","CHI","Byron Beck","University of Denver",1,53,1967,15
"1983","LAL","Randolph Mahaffey","Clemson University",NA,NA,1967,16
"1984","NYK","Phil Jackson","University of North Dakota",12,807,1967,17
"1985","SDR","Bob Netolicky","Drake University",NA,NA,1967,18
"1986","SEA","Bob Rule","Colorado State University",8,403,1967,19
"1987","BAL","Malkin Strong","Seattle University",NA,NA,1967,20
"1988","DET","Darrell Hardy","Baylor University",NA,NA,1967,21
"1989","CHI","John Dickson","Arkansas State University",NA,NA,1967,22
"1990","LAL","Dwight Smith","Western Kentucky University",NA,NA,1967,23
"1991","NYK","Gary Gregor","University of South Carolina",4,296,1967,24
"1992","STL","Bob Verga","Duke University",1,21,1967,25
"1993","CIN","Gary Gray","Oklahoma City University",1,44,1967,26
"1994","SFW","Bill Turner","University of Akron",6,294,1967,27
"1995","CIN","Sam Smith","Kentucky Wesleyan College",NA,NA,1967,28
"1996","SDR","Richard Moore","Hiram Scott College",NA,NA,1967,29
"1997","SEA","Sam Singleton","University of Nebraska at Omaha",NA,NA,1967,30
"1998","SDR","Nick Jones","University of Oregon",3,188,1967,31
"1999","BAL","Al Salvadori","University of South Carolina",NA,NA,1967,32
"2000","DET","Ronald Franz","University of Kansas",NA,NA,1967,33
"2001","CHI","Jim Burns","Northwestern University",NA,3,1967,34
"2002","LAL","Cliff Anderson","Saint Joseph's University",3,81,1967,35
"2003","NYK","Keith Swagerty","University of the Pacific",NA,NA,1967,36
"2004","STL","Wesley Bialosuknia","University of Connecticut",NA,NA,1967,37
"2005","CIN","Louie Dampier","University of Kentucky",3,232,1967,38
"2006","SFW","Bobby Lewis","University of North Carolina",4,255,1967,39
"2007","BOS","Neville Shedd","University of Texas at El Paso",NA,NA,1967,40
"2008","SDR","Ronald Kozlicki","Northwestern University",NA,NA,1967,41
"2009","SDR","Craig Dill","University of Michigan",NA,NA,1967,42
"2010","SEA","Larry Bunce","Utah State University",NA,NA,1967,43
"2011","BAL","Dexter Westbrook","Providence College",NA,NA,1967,44
"2012","DET","Paul Long","Wake Forest University",3,71,1967,45
"2013","CHI","Dick Pruet","Jacksonville University",NA,NA,1967,46
"2014","LAL","Joe Allen","Bradley University",NA,NA,1967,47
"2015","NYK","Barry Leibowitz","Long Island University",NA,NA,1967,48
"2016","STL","Mike Wittman","University of Miami",NA,NA,1967,49
"2017","CIN","Trooper Washington","Cheyney University of Pennsylvania",NA,NA,1967,50
"2018","SFW","Mike Lynn","University of California, Los Angeles",2,49,1967,51
"2019","BOS","Mike Redd","Kentucky Wesleyan College",NA,NA,1967,52
"2020","PHI","James Reid","Winston-Salem State University",1,6,1967,53
"2021","SEA","Plummer Lott","Seattle University",2,67,1967,54
"2022","SDR","Herb McPherson","Murray State University",NA,NA,1967,55
"2023","BAL","Bob Riedy","Duke University",NA,NA,1967,56
"2024","DET","Vaughn Harper","Syracuse University",NA,NA,1967,57
"2025","CHI","Marlbert Pradd","Dillard University",NA,NA,1967,58
"2026","LAL","Gary Keller","University of Florida",NA,NA,1967,59
"2027","NYK","Bob Benfield","West Virginia University",NA,NA,1967,60
"2028","STL","John Morrison","Canisius College",NA,NA,1967,61
"2029","CIN","Frank Stronczek","American International College",NA,NA,1967,62
"2030","SFW","Dale Schlueter","Colorado State University",10,586,1967,63
"2031","BOS","Ed Hummer","Princeton University",NA,NA,1967,64
"2032","PHI","Tim Powers","Creighton University",NA,NA,1967,65
"2033","SDR","Robert Cole","Saint Louis University",NA,NA,1967,66
"2034","SEA","Gordon Harris","University of Washington",NA,NA,1967,67
"2035","BAL","Ron Perry","Virginia Polytechnic Institute and State University",NA,NA,1967,68
"2036","DET","Bobby Lloyd","Rutgers University",NA,NA,1967,69
"2037","CHI","Bob Wolf","Marquette University",NA,NA,1967,70
"2038","LAL","Jamie Thompson","Wichita State University",NA,NA,1967,71
"2039","NYK","Butch Wade","Indiana State University",NA,NA,1967,72
"2040","STL","Carl Fuller","Bethune-Cookman College",NA,NA,1967,73
"2041","CIN","Charles Beasley","Southern Methodist University",NA,NA,1967,74
"2042","SFW","Sonny Bustion","Colorado State University",NA,NA,1967,75
"2043","BOS","Edgar Lacey","University of California, Los Angeles",NA,NA,1967,76
"2044","PHI","Frank Card","South Carolina State University",NA,NA,1967,77
"2045","SEA","Dick Kolbert","University of California, Santa Barbara",NA,NA,1967,78
"2046","SDR","Elbert Miller","University of Nevada, Las Vegas",NA,NA,1967,79
"2047","BAL","Ed Manning","Jackson State University",4,280,1967,80
"2048","DET","George Carter","St. Bonaventure University",1,1,1967,81
"2049","CHI","Leon Simon","College of Santa Fe",NA,NA,1967,82
"2050","LAL","Don Carlos","Otterbein College",NA,NA,1967,83
"2051","NYK","Gil Radday","St. Francis College",NA,NA,1967,84
"2052","STL","Arvesta Kelly","Lincoln University of Missouri",NA,NA,1967,85
"2053","CIN","Frank Hollendoner","Georgetown University",NA,NA,1967,86
"2054","SFW","Bob Krulish","University of the Pacific",NA,NA,1967,87
"2055","BOS","Andrew Anderson","Canisius College",NA,NA,1967,88
"2056","PHI","Jim Conley","University of Virginia",NA,NA,1967,89
"2057","SDR","Al Grundy","Saint Joseph's University",NA,NA,1967,90
"2058","SEA","Willie Wolters","Boston College",NA,NA,1967,91
"2059","BAL","Robert Allen","University of Arkansas at Pine Bluff",NA,NA,1967,92
"2060","CHI","Ernie Laurent","University of Albuquerque",NA,NA,1967,93
"2061","LAL","Jay McMillon","University of Maryland",NA,NA,1967,94
"2062","NYK","Ray Smith","Kansas State University",NA,NA,1967,95
"2063","STL","Ed Biedenbach","North Carolina State University",1,7,1967,96
"2064","CIN","Ron Sepic","Ohio State University",NA,NA,1967,97
"2065","SFW","Richard Dean","Syracuse University",NA,NA,1967,98
"2066","BOS","Henry Brown","University of Massachusetts Lowell",NA,NA,1967,99
"2067","PHI","Ron Filipek","Tennessee Technological University",1,19,1967,100
"2068","SEA","Roderick McDonald","Whitworth",NA,NA,1967,101
"2069","SDR","Ron Coleman","University of Missouri",NA,NA,1967,102
"2070","BAL","Bill Gillespie","Montana State University",NA,NA,1967,103
"2071","CHI","Jim Boshart","Wake Forest University",NA,NA,1967,104
"2072","LAL","Don Kruze","University of Houston",NA,NA,1967,105
"2073","NYK","Bruce Kaplan","New York University",NA,NA,1967,106
"2074","STL","Rich Falkenbrush","Saint Michael's College",NA,NA,1967,107
"2075","CIN","Willie Davis","University of North Texas",NA,NA,1967,108
"2076","SFW","Joe Galbo","San Francisco State University",NA,NA,1967,109
"2077","BOS","Rick Weitzman","Northeastern University",1,25,1967,110
"2078","PHI","Butch Ervin","Niagara University",NA,NA,1967,111
"2079","SDR","John Duncan","Murray State University",NA,NA,1967,112
"2080","SEA","Gary Lechman","Gonzaga University",NA,NA,1967,113
"2081","BAL","Bubba Smith","Michigan State University",NA,NA,1967,114
"2082","CHI","Jim Andros","University of New Haven",NA,NA,1967,115
"2083","LAL","Nick Pino","Kansas State University",NA,NA,1967,116
"2084","NYK","Mark Merkin","University of North Carolina",NA,NA,1967,117
"2085","CIN","Ken Callaway","University of Cincinnati",NA,NA,1967,118
"2086","SFW","Bill Morgan","University of New Mexico",NA,NA,1967,119
