"","Team","Player","College","Play_Yrs","Games","Year","Pick"
"99","BLB","J.W. Fullerton","Arkansas State University",NA,NA,1948,19
"100","BLB","Marshall Gemberling","Lebanon Valley College",NA,NA,1948,20
"101","BLB","Vince Hansen","Washington State University",NA,NA,1948,21
"102","BLB","Joe Holland","University of Kentucky",3,186,1948,22
"103","BLB","Wayne Jones","American International College",NA,NA,1948,23
"104","BLB","Dan Kraus","Georgetown University",1,13,1948,24
"105","BLB","Herb Krautblatt","Rider University",1,10,1948,25
"106","BLB","Paul Marcincin","Moravian College",NA,NA,1948,26
"107","BOS","Johnny Bach","Fordham University",1,34,1948,27
"108","BOS","Norman Carey","Oregon State University",NA,NA,1948,28
"109","BOS","Bob Curran","College of the Holy Cross",NA,NA,1948,29
"110","BOS","Neil Dooley","Colgate University",NA,NA,1948,30
"111","BOS","Jack Hauser","University of Denver",NA,NA,1948,31
"112","BOS","Marshall Hawkins","University of Tennessee",1,39,1948,32
"113","BOS","Tom Kelly","New York University",1,27,1948,33
"114","BOS","Murray Mitchell","Sam Houston State University",1,2,1948,34
"115","BOS","Guinn Phillips","Texas Wesleyan University",NA,NA,1948,35
"116","BOS","Ray Wehde","Iowa State University",NA,NA,1948,36
"117","CHS","Hook Dillon","University of North Carolina",1,22,1948,37
"118","CHS","Whitey Kachan","DePaul University",1,52,1948,38
"119","CHS","Mickey Marty","Loras College",NA,NA,1948,39
"120","CHS","Ed Mills","University of Wisconsin",NA,NA,1948,40
"121","CHS","Don Reagan","Murray State University",NA,NA,1948,41
"122","CHS","Joe Shafer","Wheaton College",NA,NA,1948,42
"123","CHS","Odie Spears","Western Kentucky University",8,479,1948,43
"124","CHS","Fred Weber","Siena College",NA,NA,1948,44
"125","FTW","Bobby Cook","University of Wisconsin",1,51,1948,45
"126","FTW","Link Richmond","University of Arizona",NA,NA,1948,46
"127","FTW","Kenny Rollins","University of Kentucky",3,168,1948,47
"128","FTW","Murray Wier","University of Iowa",1,56,1948,48
"129","INJ","Reede Berg","University of Oregon",NA,NA,1948,49
"130","INJ","Jack Coleman","Louisiana State University",NA,NA,1948,50
"131","INJ","Alex Hannum","University of Southern California",8,516,1948,51
"132","INJ","Norman Kohler","University of North Carolina",NA,NA,1948,52
"133","INJ","Andy Kostecka","Georgetown University",1,21,1948,53
"134","INJ","Ray Lumpp","New York University",5,300,1948,54
"135","INJ","Bob Paxton","University of North Carolina",NA,NA,1948,55
"136","INJ","Jack Phoenix","University of Idaho",NA,NA,1948,56
"137","INJ","Dick Wehr","Rice University",1,9,1948,57
"138","MNL","Cliff Crandall","Oregon State University",NA,NA,1948,58
"139","MNL","Arnie Ferrin","University of Utah",3,178,1948,59
"140","MNL","Earl Gardner","DePauw University",1,50,1948,60
"141","MNL","Dee Gibson","Western Kentucky University",1,44,1948,61
"142","MNL","Ken Jastrow","University of Denver",NA,NA,1948,62
"143","MNL","Bob Lowther","Louisiana State University",NA,NA,1948,63
"144","MNL","Johnny Orr","Beloit College",1,34,1948,64
"145","MNL","Junior Skogland","Gustavus Adolphus",NA,NA,1948,65
"146","MNL","Quentin Stinson","Southern Illinois University",NA,NA,1948,66
"147","NYK","Gene Berce","Marquette University",1,3,1948,67
"148","NYK","Leland Byrd","West Virginia University",NA,NA,1948,68
"149","NYK","Harry Gallatin","Truman State University",10,682,1948,69
"150","NYK","Keith Grimes","East Central University",NA,NA,1948,70
"151","NYK","Mel McGaha","University of Arkansas",1,51,1948,71
"152","NYK","Ed Peterson","Cornell University",2,115,1948,72
"153","NYK","Tex Ritter","Eastern Kentucky University",3,151,1948,73
"154","NYK","Dick Shrider","Ohio University",1,4,1948,74
"155","NYK","John Stanich","University of California, Los Angeles",NA,NA,1948,75
"156","PHW","William Brown","University of Maryland",NA,NA,1948,76
"157","PHW","Hugh Compton","University of Louisville",NA,NA,1948,77
"158","PHW","Joe Nelson","Brigham Young University",NA,NA,1948,78
"159","PHW","Clint Pace","Pepperdine University",NA,NA,1948,79
"160","PHW","Roy Pugh","Southern Methodist University",1,23,1948,80
"161","PHW","Tom Short","Kansas Wesleyan",NA,NA,1948,81
"162","PHW","Joe Wahl","University of Akron",NA,NA,1948,82
"163","PHW","Andy Wolfe","University of California",NA,NA,1948,83
"164","PRO","Al Bennett","Oklahoma State University",NA,NA,1948,84
"165","PRO","Jack Coleman","University of Louisville",9,633,1948,85
"166","PRO","Ed Faber","Trinity University",NA,NA,1948,86
"167","PRO","Verl Heap","Arizona State University",NA,NA,1948,87
"168","PRO","Otto Snellbacher","University of Kansas",NA,NA,1948,88
"169","PRO","Brady Walker","Brigham Young University",4,228,1948,89
"170","ROC","Alex Athas","Tulane University",NA,NA,1948,90
"171","ROC","Bill Gabor","Syracuse University",6,307,1948,91
"172","ROC","Ed Keim","Niagara University",NA,NA,1948,92
"173","ROC","Leo Kubiak","Bowling Green State University",1,62,1948,93
"174","ROC","Johnny Macknowski","Seton Hall University",2,117,1948,94
"175","ROC","Lionel Melamed","City College of New York",NA,NA,1948,95
"176","ROC","Hank O'Keefe","Canisius College",NA,NA,1948,96
"177","ROC","Warren Stickel","Syracuse University",NA,NA,1948,97
"178","ROC","Paul Yesavi","Niagara University",NA,NA,1948,98
"179","STB","Jack Burmaster","University of Illinois at Urbana-Champaign",1,61,1948,99
"180","STB","Gordon Flick","Drake University",NA,NA,1948,100
"181","STB","John Hoppin","Dickinson College",NA,NA,1948,101
"182","STB","Dan London","Washington University in Saint Louis",NA,NA,1948,102
"183","STB","D. Miller","Saint Louis University",NA,NA,1948,103
"184","STB","Easy Parham","Texas Wesleyan University",3,133,1948,104
"185","STB","D.C. Wilcutt","Saint Louis University",2,59,1948,105
"186","WSC","Fred Bartell","University of Oregon",NA,NA,1948,106
"187","WSC","Ed Hughes","San Jose State University",NA,NA,1948,107
"188","WSC","Thorton Jenkins","University of Missouri",NA,NA,1948,108
"189","WSC","Leo Katkaveck","North Carolina State University",2,107,1948,109
"190","WSC","C.T. Parker","Louisiana Tech University",NA,NA,1948,110
"191","WSC","Jack Parkinson","University of Kentucky",1,4,1948,111
"192","WSC","Don Walker","Sam Houston State University",NA,NA,1948,112
"193","WSC","Al Williams","University of Arkansas",NA,NA,1948,113
"194","MNL","Vern Mikkelsen","Hamline University",10,699,1948,114
"195","STB","Ed Macauley","Saint Louis University",10,641,1948,115
"196","PRO","Howie Shannon","Kansas State University",2,122,1949,1
"197","INO","Alex Groza","University of Kentucky",2,130,1949,2
"198","FTW","Bob Harris","Oklahoma State University",5,325,1949,3
"199","BOS","Tony Lavelli","Yale University",2,86,1949,4
"200","PHW","Vern Gardner","University of Utah",3,151,1949,5
"201","BLB","Ron Livingstone","University of Wyoming",2,117,1949,6
"202","NYK","Dick McGuire","St. John's University",11,738,1949,7
"203","WSC","Wah Wah Jones","University of Kentucky",3,140,1949,8
"204","CHS","Jack Kerris","Loyola University of Chicago",4,271,1949,9
"205","ROC","Pep Saul","Seton Hall University",6,384,1949,10
"206","BOS","George Kaftan","College of the Holy Cross",5,212,1949,11
"207","CHS","Ralph Beard","University of Kentucky",2,126,1949,12
"208","FTW","John Oldham","Western Kentucky University",2,127,1949,13
"209","INO","Leo Barnhorst","University of Notre Dame",5,344,1949,14
"210","NYK","Harry Donovan","Muhlenberg College",1,45,1949,15
"211","PHW","Jim Nolan","Georgia Institute of Technology",1,5,1949,16
"212","ROC","Jack Coleman","University of Louisville",9,633,1949,17
"213","STB","Johnny Orr","Beloit College",1,34,1949,18
"214","WSC","Jim Owens","Baylor University",NA,NA,1949,19
"215","BLB","Paul Gordon","University of Notre Dame",1,4,1949,20
"216","BOS","Joe Mullaney","College of the Holy Cross",1,37,1949,21
"217","CHS","Dike Eddleman","University of Illinois at Urbana-Champaign",4,267,1949,22
"218","FTW","Fred Schaus","West Virginia University",5,334,1949,23
"219","INO","Mac Otten","Bowling Green State University",1,59,1949,24
"220","NYK","Ernie Vandeweghe","Colgate University",6,224,1949,25
"221","PHW","Nelson Bobb","Temple University",4,227,1949,26
"222","PRO","Ed Leede","Dartmouth College",2,121,1949,27
"223","FTW","Jerry Nagel","Loyola University of Chicago",1,14,1949,28
"224","INO","Bob Evans","Butler University",1,47,1949,29
"225","PRO","Warren Perkins","Tulane University",2,126,1949,30
"226","PRO","Ray Corley","Georgetown University",3,102,1949,31
"227","STB","Earl Dodd","Truman State University",1,9,1949,32
"228","WSC","Cliff Barker","University of Kentucky",3,149,1949,33
"229","INO","Don Boven","Western Michigan University",3,195,1949,34
"230","STB","John Pritchard","Drake University",1,7,1949,35
"231","BOS","Duane Klueh","Indiana State University",2,113,1949,36
"232","PRO","Bob Royer","Indiana State University",1,42,1949,37
"233","BLB","Bill Evans","Drake University",NA,NA,1949,38
"234","BLB","Tom Gallagher","St. Francis College",NA,NA,1949,39
"235","BLB","Jim McMullen","Xavier University",NA,NA,1949,40
"236","BLB","Eppa Rixey","Kenyon College",NA,NA,1949,41
"237","BLB","Roger Wiley","University of Oregon",NA,NA,1949,42
"238","BLB","Bill Zipple","Lafayette College",NA,NA,1949,43
"239","BOS","Ed Little","Denver Junior College",NA,NA,1949,44
"240","BOS","Jim Simpson","Bates College",NA,NA,1949,45
"241","BOS","Emerson Speicher","Bowling Green State University",NA,NA,1949,46
"242","BOS","Bill Tom","Rice University",NA,NA,1949,47
"243","BOS","Bill Vandenburgh","University of Washington",NA,NA,1949,48
"244","BOS","Russ Washburn","Colby College",NA,NA,1949,49
"245","BOS","Bill Weight","Brigham Young University",NA,NA,1949,50
"246","FTW","Dal Zuber","University of Toledo",NA,NA,1949,51
"247","INO","Charlie Maas","Butler University",NA,NA,1949,52
"248","INO","Jim O'Halloran","University of Notre Dame",NA,NA,1949,53
"249","INO","J.L. Parks","Oklahoma State University",NA,NA,1949,54
"250","MNL","Bob Harrison","University of Michigan",9,615,1949,55
"251","MNL","Paul Walther","University of Tennessee",6,370,1949,56
"252","NYK","Don Bagley","University of Notre Dame",NA,NA,1949,57
"253","NYK","Ken Kearns","University of Arkansas",NA,NA,1949,58
"254","NYK","Bill Kleine","Missouri Valley College",NA,NA,1949,59
"255","NYK","Bill Litchfield","Emporia State University",NA,NA,1949,60
"256","NYK","Bob Prewitt","Southern Methodist University",NA,NA,1949,61
"257","PRO","Paul Courty","University of Oklahoma",NA,NA,1949,62
"258","PRO","Carl Schaeffer","University of Alabama",NA,NA,1949,63
"259","PRO","Bill Tanzler","University of Florida",NA,NA,1949,64
"260","PRO","Jack Theolan","DePaul University",NA,NA,1949,65
"261","STB","Joe Crandall","Oregon State University",NA,NA,1949,66
"262","STB","Jack Davidson","Stanford University",NA,NA,1949,67
"263","STB","Bob Retherford","University of Nebraska",NA,NA,1949,68
"264","STB","Marv Schatzman","Saint Louis University",1,34,1949,69
"265","STB","Eddie Van","Northwestern Oklahoma State University",NA,NA,1949,70
"266","STB","Preston Ward","Missouri State University",NA,NA,1949,71
"267","WSC","Maynard Haitcock","George Washington University",NA,NA,1949,72
"268","WSC","Jim Lacy","Loyola College in Maryland",NA,NA,1949,73
"269","PHW","Paul Arizin","Villanova University",10,713,1949,74
"270","BOS","Chuck Share","Bowling Green State University",9,596,1950,1
"271","BLB","Don Rehfeldt","University of Wisconsin",2,98,1950,2
"272","TRI","Bob Cousy","College of the Holy Cross",14,924,1950,3
"273","WSC","Dick Schnittker","Ohio State University",6,364,1950,4
"274","CHS","Larry Foust","La Salle University",12,817,1950,5
"275","NYK","Irwin Dambrot","City College of New York",NA,NA,1950,6
"276","FTW","George Yardley","Stanford University",7,472,1950,7
"277","INO","Bob Lavoy","Western Kentucky University",4,264,1950,8
"278","ROC","Joe McNamee","University of San Francisco",2,118,1950,9
"279","MNL","Kevin O'Shea","University of Notre Dame",3,174,1950,10
"280","SYR","Don Lofgran","University of San Francisco",4,209,1950,11
"281","BLB","John Pilch","University of Wyoming",1,9,1950,12
"282","BOS","Chuck Cooper","Duquesne University",6,409,1950,13
"283","CHS","Wally Osterkorn","University of Illinois at Urbana-Champaign",4,204,1950,14
"284","FTW","Jim Riffey","Tulane University",1,35,1950,15
"285","INO","Paul Unruh","Bradley University",NA,NA,1950,16
"286","MNL","Hal Haskins","Hamline University",NA,NA,1950,17
"287","NYK","Herb Scherer","Long Island University",2,32,1950,18
"288","PHW","Ed Dahler","Duquesne University",1,14,1950,19
"289","ROC","George Stanich","University of California, Los Angeles",NA,NA,1950,20
"290","SYR","Gerry Calabrese","St. John's University",2,104,1950,21
"291","TRI","Ed Gayda","Washington State University",1,15,1950,22
"292","WSC","Bill Sharman","University of Southern California",11,711,1950,23
"293","BLB","Dick Dickey","North Carolina State University",1,45,1950,24
"294","BOS","Bob Donham","Ohio State University",4,273,1950,25
"295","CHS","Lou Watson","Indiana University",NA,NA,1950,26
"296","FTW","Art Burris","University of Tennessee",2,74,1950,27
"297","INO","Chuck Mrazovich","Eastern Kentucky University",1,25,1950,28
"298","MNL","Howie Williams","Purdue University",NA,NA,1950,29
"299","NYK","Stan Weber","Bowling Green State University",NA,NA,1950,30
"300","PHW","Buddy Cate","Western Kentucky University",NA,NA,1950,31
"301","ROC","Bob Roper","John Carroll University",NA,NA,1950,32
"302","SYR","Stan Christie","University of Southern California",NA,NA,1950,33
"303","TRI","Clarence Brannum","Kansas State University",NA,NA,1950,34
"304","WSC","Alan Sawyer","University of California, Los Angeles",1,33,1950,35
"305","BLB","Jerry Reed","University of Wyoming",NA,NA,1950,36
"306","BOS","Ken Reeves","University of Louisville",NA,NA,1950,37
"307","CHS","Ken Murray","St. Bonaventure University",3,181,1950,38
"308","FTW","Len Rzewszewski","Indiana State University",NA,NA,1950,39
"309","INO","Jim Line","University of Kentucky",NA,NA,1950,40
"310","MNL","Bud Grant","University of Minnesota",2,96,1950,41
"311","NYK","Joe Ossola","Saint Louis University",NA,NA,1950,42
"312","PHW","Paul Sensky","Saint Joseph's University",NA,NA,1950,43
"313","ROC","Chet Giermak","College of William & Mary",NA,NA,1950,44
"314","SYR","Paul Merchant","University of Oklahoma",NA,NA,1950,45
"315","TRI","Paul Hicks","Eastern Kentucky University",NA,NA,1950,46
"316","WSC","Tommy O'Keefe","Georgetown University",1,6,1950,47
"317","BLB","Norm Mager","City College of New York",1,24,1950,48
"318","BOS","Jack Shelton","Oklahoma State University",NA,NA,1950,49
"319","CHS","Don Stroot","University of Missouri",NA,NA,1950,50
"320","FTW","Ed Thompson","Kent State University",NA,NA,1950,51
"321","INO","Sonny Allen","Morehead State University",NA,NA,1950,52
"322","MNL","Ed Beach","West Virginia University",1,12,1950,53
"323","NYK","Dick Barnes","San Diego State University",NA,NA,1950,54
"324","PHW","Ike Borsavage","Temple University",1,24,1950,55
"325","ROC","Joe Nelson","Brigham Young University",NA,NA,1950,56
"326","SYR","Paul Hickey","University of Denver",NA,NA,1950,57
"327","TRI","Cal Christensen","University of Toledo",5,291,1950,58
"328","WSC","Claude Overton","East Central University",1,15,1950,59
"329","BLB","Rick Harman","Kansas State University",NA,NA,1950,60
"330","BOS","Mo Mahoney","Brown University",2,8,1950,61
"331","CHS","Stu Inman","San Jose State University",NA,NA,1950,62
"332","FTW","Bob Metcalf","Valparaiso University",NA,NA,1950,63
"333","INO","Ralph O'Brien","Butler University",2,119,1950,64
"334","MNL","Wayne Glasgow","University of Oklahoma",NA,NA,1950,65
"335","NYK","Don Parsons","Rutgers University",NA,NA,1950,66
"336","PHW","Dick Dallmer","University of Cincinnati",NA,NA,1950,67
"337","ROC","John Givens","Western Kentucky University",NA,NA,1950,68
"338","SYR","Mack Suprunowicz","University of Michigan",NA,NA,1950,69
"339","TRI","Bob Anderson","Loyola College in Maryland",NA,NA,1950,70
"340","WSC","Warren Cartier","North Carolina State University",NA,NA,1950,71
"341","BLB","Frank Comerford","La Salle University",NA,NA,1950,72
"342","BOS","Dale Barnstable","University of Kentucky",NA,NA,1950,73
"343","CHS","Milt Whitehead","University of Nebraska",NA,NA,1950,74
"344","FTW","Ed Jones","University of Tennessee",NA,NA,1950,75
"345","INO","Leon Blevins","University of Arizona",1,2,1950,76
"346","MNL","Joe Hutton","Hamline University",2,120,1950,77
"347","NYK","Dan Bagley","University of Notre Dame",NA,NA,1950,78
"348","PHW","Charles Northup","Siena College",NA,NA,1950,79
"349","ROC","Dan Kahler","Southwestern College",NA,NA,1950,80
"350","SYR","Lou Arko","University of Akron",NA,NA,1950,81
"351","TRI","Bill Erickson","University of Illinois at Urbana-Champaign",NA,NA,1950,82
"352","WSC","Jim Cathcart","University of Arkansas",NA,NA,1950,83
"353","BLB","George Bush","University of Toledo",NA,NA,1950,84
"354","BOS","Frank Oftring","College of the Holy Cross",NA,NA,1950,85
"355","CHS","George King","University of Charleston",6,411,1950,86
"356","FTW","Billy Adcock","Vanderbilt University",NA,NA,1950,87
"357","INO","Jerry Stuteville","Indiana University",NA,NA,1950,88
"358","MNL","Nate Benson","University of Wisconsin-River Falls",NA,NA,1950,89
"359","NYK","Charles Hope","Appalachian State University",NA,NA,1950,90
"360","PHW","Brooks Ricca","Villanova University",NA,NA,1950,91
"361","ROC","Carl Kraushaar","University of California, Los Angeles",NA,NA,1950,92
"362","SYR","Bob Healey","University of Georgia",NA,NA,1950,93
"363","TRI","Loy Doty","University of Wyoming",NA,NA,1950,94
"364","WSC","Joe Greenbach","Santa Clara University",NA,NA,1950,95
"365","BLB","Jack Laub","University of Cincinnati",NA,NA,1950,96
"366","BOS","Bob Cope","University of Montana",NA,NA,1950,97
"367","CHS","John Brown","Georgetown University",NA,NA,1950,98
"368","FTW","Al Henningsen","Northwest Missouri State University",NA,NA,1950,99
"369","INO","Gene Schmidt","Texas Christian University",NA,NA,1950,100
"370","MNL","Jim Reilly","Swarthmore College",NA,NA,1950,101
