All-NBA 3rd Team,,,,,,,,
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2006,Carmelo Anthony,F,Denver Nuggets,0.481,26.5,4.9,2.7,0.5
2005,Kobe Bryant,G,Los Angeles Lakers,0.433,27.6,5.9,6,0.8
2005,Shawn Marion,F,Phoenix Suns,0.476,19.4,11.3,1.9,1.5
2005,Tracy McGrady,F,Houston Rockets,0.431,25.7,6.2,5.7,0.7
2005,Ben Wallace,C,Detroit Pistons,0.453,9.7,12.2,1.7,2.4
2005,Gilbert Arenas,G,Washington Wizards,0.431,25.5,4.7,5.1,0.3
2004,Metta World Peace,F,Indiana Pacers,0.421,18.3,5.3,3.7,0.7
2004,Baron Davis,F,New Orleans Hornets,0.395,22.9,4.3,7.5,0.4
2004,Dirk Nowitzki,F,Dallas Mavericks,0.462,21.8,8.7,2.7,1.4
2004,Michael Redd,G,Milwaukee Bucks,0.44,21.7,5,2.3,0.1
2004,Yao Ming,C,Houston Rockets,0.522,17.5,9,1.5,1.9
2003,Stephon Marbury,G,Phoenix Suns,0.439,22.3,3.2,8.1,0.2
2003,Jamal Mashburn,F,New Orleans Hornets,0.422,21.6,6.1,5.6,0.2
2003,Steve Nash,G,Dallas Mavericks,0.465,17.7,2.9,7.3,0.1
2003,Jermaine O'Neal,C,Indiana Pacers,0.484,20.8,10.3,2,2.3
2003,Paul Pierce,F,Boston Celtics,0.416,25.9,7.3,4.4,0.8
2002,Dikembe Mutombo,C,Atlanta Hawks,0.501,11.5,10.8,1,2.4
2002,Steve Nash,G,Dallas Mavericks,0.483,17.9,3.1,7.7,0
2002,Jermaine O'Neal,F,Indiana Pacers,0.479,19,10.5,1.6,2.3
2002,Paul Pierce,G,Boston Celtics,0.442,26.1,6.9,3.2,1
2002,Ben Wallace,F,Detroit Pistons,0.531,7.6,13,1.4,3.5
2001,Ray Allen,G,Milwaukee Bucks,0.48,22,5.2,4.6,0.2
2001,Karl Malone,F,Utah Jazz,0.498,23.2,8.3,4.5,0.8
2001,Dirk Nowitzki,F,Dallas Mavericks,0.474,21.8,9.2,2.1,1.2
2001,Gary Payton,G,Seattle SuperSonics,0.456,23.1,4.6,8.1,0.3
2001,David Robinson,C,San Antonio Spurs,0.486,14.4,8.6,1.5,2.5
2000,Vince Carter,F,Toronto Raptors,0.465,25.7,5.8,3.9,1.1
2000,Eddie Jones,G,Charlotte Hornets,0.427,20.1,4.8,4.2,0.7
2000,Stephon Marbury,G,New Jersey Nets,0.432,22.2,3.2,8.4,0.2
2000,David Robinson,C,San Antonio Spurs,0.512,17.8,9.6,1.8,2.3
2000,Chris Webber,F,Sacramento Kings,0.483,24.5,10.5,4.6,1.7
1999,Kobe Bryant,G,Los Angeles Lakers,0.465,19.9,5.3,3.8,1
1999,Kevin Garnett,F,Minnesota Timberwolves,0.46,20.8,10.4,4.3,1.8
1999,Antonio McDyess,F,Denver Nuggets,0.471,21.2,10.7,1.6,2.3
1999,Hakeem Olajuwon,C,Houston Rockets,0.514,18.9,9.6,1.8,2.5
1999,John Stockton,G,Utah Jazz,0.488,11.1,2.9,7.5,0.3
1998,Reggie Miller,G,Indiana Pacers,0.477,19.5,2.9,2.1,0.1
1998,Dikembe Mutombo,C,Atlanta Hawks,0.537,13.4,11.4,1,3.4
1998,Scottie Pippen,F,Chicago Bulls,0.447,19.1,5.2,5.8,1
1998,Glen Rice,F,Charlotte Hornets,0.457,22.3,4.3,2.2,0.3
1998,Mitch Richmond,G,Sacramento Kings,0.445,23.2,3.3,4,0.2
1997,Vin Baker,F,Milwaukee Bucks,0.505,21,10.3,2.7,1.4
1997,Anfernee Hardaway,G,Orlando Magic,0.447,20.5,4.5,5.6,0.6
1997,Anthony Mason,F,Charlotte Hornets,0.525,16.2,11.4,5.7,0.5
1997,Shaquille O'Neal,C,Los Angeles Lakers,0.557,26.2,12.5,3.1,2.9
1997,John Stockton,G,Utah Jazz,0.548,14.4,2.8,10.5,0.2
1996,Charles Barkley,F,Phoenix Suns,0.5,23.2,11.6,3.7,0.8
1996,Juwan Howard,F,Washington Bullets,0.489,22.1,8.1,4.4,0.5
1996,Reggie Miller,G,Indiana Pacers,0.473,21.1,2.8,3.3,0.2
1996,Shaquille O'Neal,C,Orlando Magic,0.573,26.6,11,2.9,2.1
1996,Mitch Richmond,G,Sacramento Kings,0.447,23.1,3.3,3.1,0.2
1995,Reggie Miller,G,Indiana Pacers,0.462,19.6,2.6,3,0.2
1995,Hakeem Olajuwon,C,Houston Rockets,0.517,27.8,10.8,3.5,3.4
1995,Dennis Rodman,F,San Antonio Spurs,0.571,7.1,16.8,2,0.5
1995,Detlef Schrempf,F,Seattle SuperSonics,0.523,19.2,6.2,3.8,0.4
1995,Clyde Drexler,G,Houston Rockets,0.461,21.8,6.3,4.8,0.6
1994,Derrick Coleman,F,New Jersey Nets,0.447,20.2,11.3,3.4,1.8
1994,Shaquille O'Neal,C,Orlando Magic,0.599,29.3,13.2,2.4,2.9
1994,Gary Payton,G,Seattle SuperSonics,0.504,16.5,3.3,6,0.2
1994,Dominique Wilkins,F,Los Angeles Clippers,0.44,26,6.5,2.3,0.4
1994,Mark Price,G,Cleveland Cavaliers,0.478,17.3,3,7.8,0.1
1993,Derrick Coleman,F,New Jersey Nets,0.46,20.7,11.2,3.6,1.7
1993,Tim Hardaway,G,Golden State Warriors,0.447,21.5,4,10.6,0.2
1993,Scottie Pippen,F,Chicago Bulls,0.473,18.6,7.7,6.3,0.9
1993,David Robinson,C,San Antonio Spurs,0.501,23.4,11.7,3.7,3.2
1993,Drazen Petrovic,G,New Jersey Nets,No stats available.,,,,
1992,Kevin Johnson,G,Phoenix Suns,0.479,19.7,3.7,10.7,0.3
1992,Dennis Rodman,F,Detroit Pistons,0.539,9.8,18.7,2.3,0.9
1992,Kevin Willis,F,Atlanta Hawks,0.483,18.3,15.5,2.1,0.7
1992,Brad Daugherty,C,Cleveland Cavaliers,0.57,21.5,10.4,3.6,1.1
1992,Mark Price,G,Cleveland Cavaliers,0.488,17.3,2.4,7.4,0.2
1991,Hakeem Olajuwon,C,Houston Rockets,0.508,21.2,13.8,2.3,3.9
1991,John Stockton,G,Utah Jazz,0.507,17.2,2.9,14.2,0.2
1991,James Worthy,F,Los Angeles Lakers,0.492,21.4,4.6,3.5,0.4
1991,Joe Dumars,G,Detroit Pistons,0.481,20.4,2.3,5.5,0.1
