Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,WS,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS/48
3144,1965,NBA,11,82,BAL,Thales McReynolds\mcreyth01,21.338,G,us,Miles College,1966,1966,-0.2,5,5.6,0.6,1.2,0.2,,,0.083,0.083,,0.5,-0.356
3145,1968,NBA,6,70,DET,Wally Anderzunas\anderwa01,22.15,C-F,,Creighton,1970,1970,-0.2,44,8.4,3.6,1.9,0.2,,,0.392,0.392,,0.63,-0.023
3146,1969,NBA,1,5,CHI,Larry Cannon\cannola01,22.001,G,us,La Salle,1974,1974,-0.2,19,17.6,6.2,1.9,2.7,0.4,0.2,0.386,0.386,,0.679,-0.029
3147,1969,NBA,2,21,SDR,Bernie Williams\willibe01,23.104,G,us,La Salle,1970,1971,-0.2,128,15.1,7,1.9,2.2,,,0.371,0.371,,0.808,-0.005
3148,1969,NBA,2,25,ATL,Wally Anderzunas\anderwa01,23.092,C-F,,Creighton,1970,1970,-0.2,44,8.4,3.6,1.9,0.2,,,0.392,0.392,,0.63,-0.023
3149,1971,NBA,3,45,DET,Marv Roberts\roberma01,21.064,F-C,us,Utah State University,1977,1977,-0.2,28,7.5,2.1,0.9,0.7,0.1,0.1,0.355,0.355,,0.667,-0.051
3150,1971,NBA,3,50,NYK,Ken Mayfield\mayfike01,22.327,G,us,Tuskegee University,1976,1976,-0.2,13,4.9,2.8,0.6,0.3,0,0,0.37,0.37,,1,-0.134
3151,1971,NBA,4,55,CIN,Sid Catlett\catlesi01,22.35,F,us,Notre Dame,1972,1972,-0.2,9,4.4,0.7,0.4,0.1,,,0.222,0.222,,0.222,-0.197
3152,1971,NBA,8,131,PHI,Barry Yates\yatesba01,25.064,F,,Maryland,1972,1972,-0.2,24,6,2.9,1.7,0.3,,,0.373,0.373,,0.636,-0.075
3153,1972,NBA,2,28,KCO,Mike Ratliff\ratlimi01,20.313,C,us,University of Wisconsin-Eau Claire,1973,1974,-0.2,60,11.4,4,3.2,0.6,0,0,0.417,0.417,,0.536,-0.014
3154,1972,NBA,3,40,SEA,Jim Creighton\creigji01,21.363,F,us,Colorado,1976,1976,-0.2,32,5.4,1,1.4,0.1,0.1,0.3,0.279,0.279,,0.438,-0.063
3155,1973,NBA,1,17,BOS,Steve Downing\downist01,22.233,C,us,Indiana,1974,1975,-0.2,27,5.4,2.4,1.5,0.4,0.2,0,0.318,0.318,,0.55,-0.06
3156,1973,NBA,4,64,CHI,Mark Sibley\siblema01,22.168,G,,Northwestern,1974,1974,-0.2,28,4.4,1.6,0.9,0.5,0.1,0,0.357,0.357,,0.857,-0.065
3157,1973,NBA,4,66,NYK,George Karl\karlge01,21.353,G,us,UNC,1977,1978,-0.2,33,8.5,2.6,0.7,1.5,0.3,0,0.342,0.342,,0.705,-0.038
3158,1974,NBA,3,43,ATL,Darrell Elston\elstoda01,21.291,G,us,UNC,1977,1977,-0.2,5,8,1,1.2,0.4,0.2,0,0.143,0.143,,0.5,-0.218
3159,1974,NBA,10,175,DET,Bill Ligon\ligonbi01,22.004,G,us,Vanderbilt,1975,1975,-0.2,38,7.2,3.3,0.7,0.7,0.2,0.2,0.385,0.385,,0.64,-0.043
3160,1976,NBA,1,15,CLE,Chuckie Williams\willich03,22.165,G,us,Kansas State,1977,1977,-0.2,22,3,1.7,0.2,0.3,0,0,0.298,0.298,,0.75,-0.137
3161,1976,NBA,2,34,GSW,Marshall Rogers\rogerma01,22.291,G,us,University of Texas-Pan American,1977,1977,-0.2,26,6.8,3.8,0.4,0.4,0.3,0.1,0.371,0.371,,0.933,-0.043
3162,1976,NBA,4,52,CHI,Keith Starr\starrke01,22.092,G-F,us,Pitt,1977,1977,-0.2,17,3.8,0.8,0.6,0.4,0.1,0,0.25,0.25,,1,-0.111
3163,1976,NBA,7,121,BOS,Ralph Drollinger\drollra01,22.055,C,us,UCLA,1981,1981,-0.2,6,11.2,2.5,3.2,2.3,0.2,0.3,0.5,0.5,,0.25,-0.117
3164,1977,NBA,2,29,IND,Alonzo Bradley\bradlal01,23.243,F,us,Texas Southern,1978,1980,-0.2,99,11.5,4.4,1.5,0.7,0.2,0.1,0.418,0.417,1,0.703,-0.007
3165,1977,NBA,4,72,NOJ,Dennis Boyd\boydde01,23.026,G,us,Detroit Mercy,1979,1979,-0.2,5,8,1.2,0.4,1.4,0,0,0.25,0.25,,,-0.23
3166,1977,NBA,5,103,SAS,Scott Sims\simssc01,22.059,G,us,Missouri,1978,1978,-0.2,12,7.9,2.5,1.1,1.7,0.3,0,0.385,0.385,,0.667,-0.088
