Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,WS,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS/48
1,1969,NBA,1,1,MIL,Kareem Abdul-Jabbar\abdulka01,21.362,C,us,UCLA,1970,1989,273.4,1560,36.8,24.6,11.2,3.6,0.7,2,0.559,0.56,0.056,0.721,0.228
2,1959,NBA,,,PHW,Wilt Chamberlain\chambwi01,22.227,C,us,Kansas,1960,1973,247.3,1045,45.8,30.1,22.9,4.4,,,0.54,0.54,,0.511,0.248
3,2003,NBA,1,1,CLE,LeBron James\jamesle01,18.182,F-G,us,,2004,2021,241.9,1306,38.2,27,7.4,7.4,1.6,0.8,0.504,0.55,0.345,0.734,0.233
4,1985,NBA,1,13,UTA,Karl Malone\malonka01,21.335,F,us,Louisiana Tech,1986,2004,234.6,1476,37.2,25,10.1,3.6,1.4,0.8,0.516,0.519,0.274,0.742,0.205
5,1984,NBA,1,3,CHI,Michael Jordan\jordami01,21.128,G-F,us,UNC,1985,2003,214,1072,38.3,30.1,6.2,5.3,2.3,0.8,0.497,0.51,0.327,0.835,0.25
6,1984,NBA,1,16,UTA,John Stockton\stockjo01,22.091,G,us,Gonzaga,1985,2003,207.7,1504,31.8,13.1,2.7,10.5,2.2,0.2,0.515,0.541,0.384,0.826,0.209
7,1997,NBA,1,1,SAS,Tim Duncan\duncati01,21.066,F-C,vi,Wake Forest,1998,2016,206.4,1392,34,19,10.8,3,0.7,2.2,0.506,0.509,0.179,0.696,0.209
8,1998,NBA,1,9,MIL,Dirk Nowitzki\nowitdi01,20.01,F,de,,1999,2019,206.3,1522,33.8,20.7,7.5,2.4,0.8,0.8,0.471,0.496,0.38,0.879,0.193
9,1995,NBA,1,5,MIN,Kevin Garnett\garneke01,19.044,F-C,us,,1996,2016,191.4,1462,34.5,17.8,10,3.7,1.3,1.4,0.497,0.504,0.275,0.789,0.182
10,1960,NBA,1,1,CIN,Oscar Robertson\roberos01,21.144,G-F,us,Cincinnati,1961,1974,189.2,1040,42.2,25.7,7.5,9.5,0.1,0,0.485,0.485,,0.838,0.207
11,2005,NBA,1,4,NOH,Chris Paul\paulch01,20.058,G,us,Wake Forest,2006,2021,187.8,1079,34.7,18.3,4.5,9.4,2.1,0.1,0.471,0.508,0.37,0.872,0.241
12,1992,NBA,1,1,ORL,Shaquille O'Neal\onealsh01,20.115,C,us,LSU,1993,2011,181.7,1207,34.7,23.7,10.9,2.5,0.6,2.3,0.582,0.583,0.045,0.527,0.208
13,1987,NBA,1,1,SAS,David Robinson\robinda01,21.325,C,us,United States Naval Academy,1990,2003,178.7,987,34.7,21.1,10.6,2.5,1.4,3,0.518,0.52,0.25,0.736,0.25
14,1984,NBA,1,5,PHI,Charles Barkley\barklch01,21.125,F,us,Auburn,1985,2000,177.2,1073,36.7,22.1,11.7,3.9,1.5,0.8,0.541,0.581,0.266,0.735,0.216
15,1987,NBA,1,11,IND,Reggie Miller\millere01,21.307,G-F,us,UCLA,1988,2005,174.4,1389,34.3,18.2,3,3,1.1,0.2,0.471,0.516,0.395,0.888,0.176
16,1996,NBA,1,13,CHH,Kobe Bryant\bryanko01,17.312,G-F,us,,1997,2016,172.7,1346,36.1,25,5.2,4.7,1.4,0.5,0.447,0.479,0.329,0.837,0.17
17,1956,NBA,1,2,STL,Bill Russell\russebi01,22.083,C,us,San Francisco,1957,1969,163.5,963,42.3,15.1,22.5,4.3,,,0.44,0.44,,0.561,0.193
18,1984,NBA,1,1,HOU,Hakeem Olajuwon\olajuha01,21.155,C,ng,Houston,1985,2002,162.8,1238,35.7,21.8,11.1,2.5,1.7,3.1,0.512,0.514,0.202,0.712,0.177
19,1960,NBA,1,2,LAL,Jerry West\westje01,21.324,G,us,West Virginia,1961,1974,162.6,932,39.2,27,5.8,6.7,0.1,0,0.474,0.474,,0.814,0.213
20,1979,NBA,1,1,LAL,Magic Johnson\johnsma02,19.32,G-F,us,Michigan State,1980,1996,155.8,906,36.7,19.5,7.2,11.2,1.9,0.4,0.52,0.541,0.303,0.848,0.225
21,1998,NBA,1,10,BOS,Paul Pierce\piercpa01,20.259,F-G,us,Kansas,1999,2017,150,1343,34.2,19.7,5.6,3.5,1.3,0.6,0.445,0.478,0.368,0.806,0.157
22,1976,NBA,1,8,GSW,Robert Parish\parisro01,22.288,C,us,Centenary (LA),1977,1997,147,1611,28.4,14.5,9.1,1.4,0.8,1.5,0.537,0.537,0,0.721,0.154
23,1978,NBA,1,6,BOS,Larry Bird\birdla01,21.189,F,us,Indiana State University,1980,1992,145.8,897,38.4,24.3,10,6.3,1.7,0.8,0.496,0.509,0.376,0.886,0.203
24,1990,NBA,1,2,SEA,Gary Payton\paytoga01,21.344,G,us,Oregon State,1991,2007,145.5,1335,35.3,16.3,3.9,6.7,1.8,0.2,0.466,0.501,0.317,0.729,0.148
25,2007,NBA,1,2,SEA,Kevin Durant\duranke01,18.276,F-G,us,Texas,2008,2021,145.2,874,36.7,27,7,4.1,1.1,1.1,0.494,0.533,0.384,0.882,0.217
26,1996,NBA,1,5,MIN,Ray Allen\allenra02,20.347,G,us,UConn,1997,2014,145.1,1300,35.6,18.9,4.1,3.4,1.1,0.2,0.452,0.485,0.4,0.894,0.15
27,2001,NBA,1,3,ATL,Pau Gasol\gasolpa01,20.361,C-F,es,,2002,2019,144.1,1226,33.4,17,9.2,3.2,0.5,1.6,0.507,0.512,0.368,0.753,0.169
28,1948,BAA,1,4,NYK,Dolph Schayes\schaydo01,19.361,F-C,us,NYU,1950,1964,142.4,996,29.9,18.5,11.3,3.1,,,0.38,0.38,,0.849,0.229
29,2009,NBA,1,3,OKC,James Harden\hardeja01,19.308,G,us,Arizona State,2010,2021,141.7,875,34.5,25.2,5.5,6.5,1.6,0.5,0.444,0.513,0.363,0.859,0.226
30,1994,NBA,1,2,DAL,Jason Kidd\kiddja01,21.103,G,us,California,1995,2013,138.6,1391,36,12.6,6.3,8.7,1.9,0.3,0.4,0.429,0.349,0.785,0.133
31,2004,NBA,1,1,ORL,Dwight Howard\howardw01,18.203,C,us,,2005,2021,137.2,1171,32.7,16.2,12.1,1.4,0.9,1.9,0.586,0.589,0.155,0.566,0.172
32,1954,NBA,1,2,MLH,Bob Pettit\pettibo01,21.138,F-C,us,LSU,1955,1965,136,792,38.8,26.4,16.2,3,,,0.436,0.436,,0.761,0.213
33,1983,NBA,1,14,POR,Clyde Drexler\drexlcl01,21.011,G,us,Houston,1984,1998,135.6,1086,34.6,20.4,6.1,5.6,2,0.7,0.472,0.498,0.318,0.788,0.173
34,1976,NBA,1,6,BUF,Adrian Dantley\dantlad01,21.106,F-G,us,Notre Dame,1977,1991,134.2,955,35.8,24.3,5.7,3,1,0.2,0.54,0.541,0.171,0.818,0.189
35,1962,NBA,1,7,BOS,John Havlicek\havlijo01,21.357,F-G,us,Ohio State,1963,1978,131.7,1270,36.6,20.8,6.3,4.8,0.4,0.1,0.439,0.439,,0.815,0.136
36,1961,NBA,1,1,CHP,Walt Bellamy\bellawa01,21.252,C,us,Indiana,1962,1975,130,1043,37.3,20.1,13.7,2.4,0,0,0.516,0.516,,0.632,0.16
37,1996,NBA,1,15,PHO,Steve Nash\nashst01,22.145,G,za,Santa Clara,1997,2014,129.7,1217,31.3,14.3,3,8.5,0.7,0.1,0.49,0.518,0.428,0.904,0.164
38,1985,NBA,1,1,NYK,Patrick Ewing\ewingpa01,22.323,C-F,jm,Georgetown,1986,2002,126.4,1183,34.3,21,9.8,1.9,1,2.4,0.504,0.507,0.152,0.74,0.15
39,1998,NBA,1,5,GSW,Vince Carter\cartevi01,21.154,G-F,us,UNC,1999,2020,125.3,1541,30.1,16.7,4.3,3.1,1,0.6,0.435,0.462,0.371,0.798,0.13
40,1987,NBA,1,5,SEA,Scottie Pippen\pippesc01,21.275,F-G,us,University of Central Arkansas,1988,2004,125.1,1178,34.9,16.1,6.4,5.2,2,0.8,0.473,0.507,0.326,0.704,0.146
41,1999,NBA,1,9,PHO,Shawn Marion\mariosh01,21.059,F,us,UNLV,2000,2015,124.9,1163,34.5,15.2,8.7,1.9,1.5,1.1,0.484,0.513,0.331,0.81,0.15
42,1968,NBA,1,1,SDR,Elvin Hayes\hayesel01,22.205,F-C,us,Houston,1969,1984,120.8,1303,38.4,21,12.5,1.8,0.7,1.4,0.452,0.453,0.147,0.67,0.116
43,1997,NBA,1,3,BOS,Chauncey Billups\billuch01,20.278,G,us,Colorado,1998,2014,120.8,1043,31.6,15.2,2.9,5.4,1,0.2,0.415,0.435,0.387,0.894,0.176
44,2003,NBA,1,5,MIA,Dwyane Wade\wadedw01,21.165,G,us,Marquette,2004,2019,120.7,1054,33.9,22,4.7,5.4,1.5,0.8,0.48,0.502,0.293,0.765,0.162
45,1981,NBA,1,3,NJN,Buck Williams\willibu01,21.098,F-C,us,Maryland,1982,1998,120.1,1307,32.5,12.8,10,1.3,0.8,0.8,0.549,0.55,0.167,0.664,0.136
46,1987,NBA,1,10,CHI,Horace Grant\grantho01,21.358,F-C,us,Clemson,1988,2004,118.2,1165,33.2,11.2,8.1,2.2,1,1,0.509,0.511,0.063,0.692,0.147
47,1982,NBA,1,3,UTA,Dominique Wilkins\wilkido01,22.174,F-G,fr,Georgia,1983,1999,117.5,1074,35.5,24.8,6.7,2.5,1.3,0.6,0.461,0.478,0.319,0.811,0.148
48,1962,NBA,2,12,SYR,Chet Walker\walkech01,22.038,F-G,us,Bradley,1963,1975,117.4,1032,32.4,18.2,7.1,2.1,0.1,0,0.47,0.47,,0.796,0.168
49,1970,NBA,1,1,DET,Bob Lanier\laniebo01,21.199,C,us,St. Bonaventure,1971,1984,117.1,959,33.5,20.1,10.1,3.1,0.8,1.1,0.514,0.515,0.154,0.767,0.175
50,1991,NBA,1,4,DEN,Dikembe Mutombo\mutomdi01,25.007,C,cd,Georgetown,1992,2009,117,1196,30.8,9.8,10.3,1,0.4,2.8,0.518,0.518,0,0.684,0.153
51,1959,NBA,1,2,DET,Bailey Howell\howelba01,22.075,F,us,Mississippi State,1960,1971,114.8,950,32.2,18.7,9.9,2,,,0.48,0.48,,0.762,0.18
52,1967,NBA,1,5,NYK,Walt Frazier\fraziwa01,22.04,G,us,Southern Illinois,1968,1980,113.5,825,37.5,18.9,5.9,6.1,0.8,0.1,0.49,0.49,0,0.786,0.176
53,1980,NBA,1,3,BOS,Kevin McHale\mchalke01,22.179,F-C,us,Minnesota,1981,1993,113,971,31,17.9,7.3,1.7,0.4,1.7,0.554,0.558,0.261,0.798,0.18
54,2006,NBA,1,2,CHI,LaMarcus Aldridge\aldrila01,20.349,F-C,us,Texas,2007,2021,112.7,1029,34.2,19.4,8.2,2,0.7,1.1,0.491,0.498,0.321,0.811,0.154
55,1977,NBA,1,8,SEA,Jack Sikma\sikmaja01,21.214,C-F,us,Illinois Wesleyan University,1978,1991,112.5,1107,33.4,15.6,9.8,3.2,1,0.9,0.464,0.47,0.328,0.849,0.146
56,2001,NBA,1,28,SAS,Tony Parker\parketo01,19.046,G,be,,2002,2019,111.3,1254,30.5,15.5,2.7,5.6,0.8,0.1,0.491,0.51,0.324,0.751,0.14
57,2009,NBA,1,7,GSW,Stephen Curry\curryst01,21.108,G,us,Davidson,2010,2021,110.9,752,34.3,24,4.6,6.6,1.7,0.2,0.477,0.519,0.434,0.907,0.206
58,1985,NBA,1,24,POR,Terry Porter\portete01,22.077,G,us,University of Wisconsin-Stevens Point,1986,2002,110.4,1274,27.8,12.2,3,5.6,1.2,0.1,0.463,0.493,0.386,0.836,0.15
59,1968,NBA,1,2,BAL,Wes Unseld\unselwe01,22.088,C-F,us,Louisville,1969,1981,110.1,984,36.4,10.8,14,3.9,0.6,0.4,0.509,0.509,0.5,0.633,0.147
60,1981,NBA,1,20,PHO,Larry Nance\nancela01,22.123,F-C,us,Clemson,1982,1994,109.6,920,33.4,17.1,8,2.6,0.9,2.2,0.546,0.548,0.145,0.755,0.171
61,1999,NBA,1,1,CHI,Elton Brand\brandel01,20.116,F-C,us,Duke,2000,2016,109.6,1058,33,15.9,8.5,2.1,0.9,1.7,0.5,0.501,0.095,0.736,0.151
62,1985,NBA,1,8,DAL,Detlef Schrempf\schrede01,22.154,F-C,de,Washington,1986,2001,109.5,1136,29.6,13.9,6.2,3.4,0.8,0.3,0.491,0.505,0.384,0.803,0.156
63,1986,NBA,2,46,PHO,Jeff Hornacek\hornaje01,23.051,G,us,Iowa State,1987,2000,108.9,1077,31.5,14.5,3.4,4.9,1.4,0.2,0.496,0.515,0.403,0.877,0.154
64,1950,NBA,,,PHW,Paul Arizin\arizipa01,22.021,F-G,us,Villanova,1951,1962,108.8,713,34.9,22.8,8.6,2.3,,,0.421,0.421,,0.81,0.21
65,1971,NBA,7,117,CHI,Artis Gilmore\gilmoar01,21.194,C,us,Jacksonville University,1977,1988,107.4,909,32.7,17.1,10.1,2,0.5,1.9,0.599,0.6,0.077,0.713,0.174
66,1984,NBA,1,9,KCK,Otis Thorpe\thorpot01,21.324,F-C,us,Providence,1985,2001,106.4,1257,31.7,14,8.2,2.2,0.7,0.4,0.546,0.548,0.047,0.687,0.128
67,1999,NBA,2,57,SAS,Manu Ginóbili\ginobma01,21.342,G,ar,,2003,2018,106.4,1057,25.4,13.3,3.5,3.8,1.3,0.3,0.447,0.498,0.369,0.827,0.19
68,1972,NBA,1,12,MIL,Julius Erving\ervinju01,22.053,F-G,us,UMass,1977,1987,106.2,836,34.3,22,6.7,3.9,1.8,1.5,0.507,0.51,0.261,0.777,0.178
69,2003,NBA,1,4,TOR,Chris Bosh\boshch01,19.098,F-C,us,Georgia Tech,2004,2016,106,893,35.8,19.2,8.5,2,0.8,1,0.494,0.506,0.335,0.799,0.159
70,1979,NBA,3,65,CLE,Bill Laimbeer\laimbbi01,22.042,C,us,Notre Dame,1981,1994,105.6,1068,31.8,12.9,9.7,2,0.7,0.9,0.498,0.508,0.326,0.837,0.149
71,1984,NBA,1,4,DAL,Sam Perkins\perkisa01,23.011,F-C,us,UNC,1985,2001,105.4,1286,28.5,11.9,6,1.5,0.9,0.7,0.459,0.482,0.362,0.811,0.138
72,1995,NBA,1,4,WSB,Rasheed Wallace\wallara01,20.289,F-C,us,UNC,1996,2013,105.1,1109,32.7,14.4,6.7,1.8,1,1.3,0.467,0.508,0.336,0.721,0.139
73,1956,NBA,,,MNL,Elgin Baylor\bayloel01,21.232,F,us,Seattle University,1959,1972,104.2,846,40,27.4,13.5,4.3,,,0.431,0.431,,0.78,0.148
74,1958,NBA,1,1,MNL,Elgin Baylor\bayloel01,23.224,F,us,Seattle University,1959,1972,104.2,846,40,27.4,13.5,4.3,,,0.431,0.431,,0.78,0.148
75,2003,NBA,1,3,DEN,Carmelo Anthony\anthoca01,19.032,F,us,Syracuse,2004,2021,104.1,1181,35.1,23.1,6.3,2.8,1,0.5,0.447,0.471,0.352,0.813,0.12
76,1978,NBA,2,36,PHI,Maurice Cheeks\cheekma01,21.279,G,us,West Texas A&M University,1979,1993,103.5,1101,31.6,11.1,2.8,6.7,2.1,0.3,0.523,0.529,0.255,0.793,0.143
77,2008,NBA,1,4,SEA,Russell Westbrook\westbru01,19.231,G,us,UCLA,2009,2021,103,931,34.7,23.2,7.3,8.5,1.7,0.3,0.437,0.469,0.305,0.79,0.153
78,1958,NBA,2,13,SYR,Hal Greer\greerha01,21.305,G-F,us,Marshall,1959,1973,102.7,1122,35.5,19.2,5,4,,,0.452,0.452,,0.801,0.124
79,2001,NBA,1,2,LAC,Tyson Chandler\chandty01,18.273,C,us,,2002,2020,102.1,1160,27.3,8.2,9,0.8,0.5,1.2,0.597,0.598,0,0.644,0.155
80,1999,NBA,1,10,ATL,Jason Terry\terryja01,21.293,G,us,Arizona,2000,2018,102,1410,29.8,13.4,2.3,3.8,1.1,0.2,0.444,0.484,0.38,0.845,0.116
81,1999,NBA,1,8,CLE,Andre Miller\millean02,23.108,G,us,Utah,2000,2016,100.8,1304,30.9,12.5,3.7,6.5,1.2,0.2,0.461,0.478,0.217,0.807,0.12
82,1976,NBA,2,23,MIL,Alex English\englial01,22.16,F,us,South Carolina,1977,1991,100.7,1193,31.9,21.5,5.5,3.6,0.9,0.7,0.507,0.508,0.217,0.832,0.127
83,1994,NBA,1,10,LAL,Eddie Jones\jonesed02,22.258,G-F,us,Temple,1995,2008,100.6,954,34.4,14.8,4,2.9,1.7,0.6,0.437,0.474,0.373,0.809,0.147
84,1949,BAA,,,STB,Ed Macauley\macaued01,21.004,C-F,us,Saint Louis,1950,1959,100.4,641,28.2,17.5,6.7,3.2,,,0.436,0.436,,0.761,0.267
85,1994,NBA,1,3,DET,Grant Hill\hillgr01,21.272,F-G,us,Duke,1995,2013,99.9,1026,33.9,16.7,6,4.1,1.2,0.6,0.483,0.493,0.314,0.769,0.138
86,1985,NBA,1,23,LAL,A.C. Green\greenac01,21.263,F-C,us,Oregon State,1986,2001,99.5,1278,28.6,9.6,7.4,1.1,0.8,0.4,0.494,0.507,0.254,0.734,0.131
87,1996,NBA,1,1,PHI,Allen Iverson\iversal01,21.025,G,us,Georgetown,1997,2010,99,914,41.1,26.7,3.7,6.2,2.2,0.2,0.425,0.448,0.313,0.78,0.126
88,2004,NBA,1,9,PHI,Andre Iguodala\iguodan01,20.153,G-F,us,Arizona,2005,2021,98.7,1183,32.6,11.7,5,4.2,1.5,0.5,0.464,0.519,0.333,0.709,0.123
89,1962,NBA,,,CIN,Jerry Lucas\lucasje01,22.001,F-C,us,Ohio State,1964,1974,98.4,829,38.8,17,15.6,3.3,0,0,0.499,0.499,,0.783,0.147
90,2006,NBA,1,24,MEM,Kyle Lowry\lowryky01,20.1,G,us,Villanova,2007,2021,97.7,956,31.7,14.8,4.4,6.2,1.3,0.3,0.423,0.471,0.367,0.812,0.155
91,1997,NBA,1,9,TOR,Tracy McGrady\mcgratr01,18.037,F-G,us,,1998,2012,97.3,938,32.7,19.6,5.6,4.4,1.2,0.9,0.435,0.461,0.338,0.746,0.152
92,1989,NBA,1,26,LAL,Vlade Divac\divacvl01,21.15,C,rs,,1990,2005,96.4,1134,29.8,11.8,8.2,3.1,1.1,1.4,0.495,0.506,0.235,0.692,0.137
93,1960,NBA,1,6,STL,Lenny Wilkens\wilkele01,22.171,G,us,Providence,1961,1975,95.5,1077,35.3,16.5,4.7,6.7,0.2,0,0.432,0.432,,0.774,0.12
94,2006,NBA,2,47,UTA,Paul Millsap\millspa01,21.143,F,us,Louisiana Tech,2007,2021,94.5,1043,28.7,13.7,7.2,2.2,1.3,1,0.49,0.514,0.344,0.736,0.151
95,1965,NBA,1,2,SFW,Rick Barry\barryri01,21.044,F,us,Miami (FL),1966,1980,93.4,794,36.3,23.2,6.5,5.1,1.4,0.3,0.449,0.45,0.33,0.9,0.156
96,1985,NBA,1,7,GSW,Chris Mullin\mullich01,21.329,F-G,us,St. John's,1986,2001,93.1,986,32.6,18.2,4.1,3.5,1.6,0.6,0.509,0.533,0.384,0.865,0.139
97,1987,NBA,1,7,CLE,Kevin Johnson\johnske02,21.115,G,us,California,1988,2000,92.8,735,34.1,17.9,3.3,9.1,1.5,0.2,0.493,0.504,0.305,0.841,0.178
98,2007,NBA,1,3,ATL,Al Horford\horfoal01,21.03,C-F,do,Florida,2008,2021,92.8,881,32.5,13.9,8.2,3.3,0.8,1.2,0.517,0.543,0.364,0.755,0.156
99,2002,NBA,1,9,PHO,Amar'e Stoudemire\stoudam01,19.227,F-C,us,,2003,2016,92.5,846,31,18.9,7.8,1.2,0.8,1.2,0.537,0.54,0.236,0.761,0.169
100,2008,NBA,2,35,LAC,DeAndre Jordan\jordade01,19.345,C,us,Texas A&M,2009,2021,92.4,928,27.5,9.4,10.6,1,0.6,1.6,0.674,0.676,0.083,0.475,0.174
101,1956,NBA,,,MNL,Sam Jones\jonessa01,22.316,G-F,us,NC Central,1958,1969,92.3,871,27.9,17.7,4.9,2.5,,,0.456,0.456,,0.803,0.182
102,1957,NBA,1,8,BOS,Sam Jones\jonessa01,23.303,G-F,us,NC Central,1958,1969,92.3,871,27.9,17.7,4.9,2.5,,,0.456,0.456,,0.803,0.182
103,1987,NBA,1,18,NYK,Mark Jackson\jacksma01,22.087,G,us,St. John's,1988,2004,91.8,1296,30.2,9.6,3.8,8,1.2,0.1,0.447,0.477,0.332,0.77,0.113
104,1950,NBA,1,3,TRI,Bob Cousy\cousybo01,21.264,G,us,Holy Cross,1951,1970,91.1,924,32.6,18.4,5.2,7.5,,,0.375,0.375,,0.803,0.145
105,1982,NBA,1,2,SDC,Terry Cummings\cummite01,21.111,F,us,DePaul,1983,2000,91.1,1183,28.7,16.4,7.3,1.9,1.1,0.5,0.484,0.486,0.295,0.706,0.129
106,1998,NBA,2,32,SEA,Rashard Lewis\lewisra02,18.325,F,us,,1999,2014,90.9,1049,32,14.9,5.2,1.7,1.1,0.5,0.452,0.491,0.386,0.805,0.13
107,1988,NBA,1,6,LAC,Hersey Hawkins\hawkihe01,21.278,G,us,Bradley,1989,2001,90.6,983,32.6,14.7,3.6,2.9,1.7,0.3,0.461,0.488,0.394,0.87,0.136
108,1979,NBA,1,5,MIL,Sidney Moncrief\moncrsi01,21.282,G,us,Arkansas,1980,1991,90.3,767,30.2,15.6,4.7,3.6,1.2,0.3,0.502,0.513,0.284,0.831,0.187
109,1986,NBA,2,27,DET,Dennis Rodman\rodmade01,25.041,F,us,Southeastern Oklahoma State University,1987,2000,89.8,911,31.7,7.3,13.1,1.8,0.7,0.6,0.521,0.542,0.231,0.584,0.15
110,1992,NBA,2,29,NJN,P.J. Brown\brownpj01,22.259,F-C,us,Louisiana Tech,1994,2008,89.8,1089,31.1,9.1,7.7,1.5,0.8,1,0.46,0.463,0.136,0.794,0.128
111,1985,NBA,1,9,CLE,Charles Oakley\oaklech01,21.188,F-C,us,Virginia Union University,1986,2004,89.7,1282,31.4,9.7,9.5,2.5,1.1,0.3,0.471,0.477,0.253,0.761,0.107
112,1989,NBA,2,36,POR,Clifford Robinson\robincl02,22.199,F-C,us,UConn,1990,2007,89.7,1380,30.8,14.2,4.6,2.2,1,1,0.438,0.459,0.356,0.689,0.101
113,1992,NBA,1,2,CHH,Alonzo Mourning\mournal01,22.142,C,us,Georgetown,1993,2008,89.7,838,31,17.1,8.5,1.1,0.5,2.8,0.527,0.53,0.247,0.692,0.166
114,1989,NBA,1,17,SEA,Shawn Kemp\kempsh01,19.218,F-C,us,Trinity Valley CC,1990,2003,89.5,1051,27.9,14.6,8.4,1.6,1.1,1.2,0.488,0.49,0.277,0.741,0.147
115,2012,NBA,1,6,POR,Damian Lillard\lillada01,21.354,G,us,Weber State,2013,2021,89.3,670,36.4,24.6,4.2,6.6,1,0.3,0.437,0.486,0.373,0.892,0.176
116,1972,NBA,1,2,BUF,Bob McAdoo\mcadobo01,20.203,C-F,us,UNC,1973,1986,89.1,852,33.2,22.1,9.4,2.3,0.9,1.3,0.503,0.504,0.081,0.754,0.151
117,1989,NBA,1,4,MIA,Glen Rice\ricegl01,22.036,F,us,Michigan,1990,2004,88.7,1000,35,18.3,4.4,2.1,1,0.3,0.456,0.476,0.4,0.846,0.122
118,1988,NBA,3,53,POR,Anthony Mason\masonan01,21.202,F,us,Tennessee State,1990,2003,88.3,882,34.7,10.9,8.3,3.4,0.7,0.3,0.509,0.51,0.167,0.709,0.138
119,1974,NBA,3,40,PHO,George Gervin\gervige01,22.036,G-F,us,Eastern Michigan,1977,1986,88.1,791,33.5,26.2,4.6,2.8,1.2,0.8,0.511,0.514,0.297,0.844,0.159
120,1998,NBA,1,4,TOR,Antawn Jamison\jamisan01,22.017,F,us,UNC,1999,2014,87.8,1083,34.8,18.5,7.5,1.6,1,0.4,0.451,0.477,0.346,0.724,0.112
121,1993,NBA,1,24,HOU,Sam Cassell\cassesa01,23.23,G,us,Florida State,1994,2008,87.5,993,30,15.7,3.2,6,1.1,0.2,0.454,0.477,0.331,0.861,0.141
122,1991,NBA,1,13,IND,Dale Davis\davisda01,22.098,F-C,us,Clemson,1992,2007,86.9,1094,27.1,8,7.9,0.9,0.6,1.2,0.53,0.53,0,0.562,0.141
123,1983,NBA,1,11,DAL,Derek Harper\harpede01,21.263,G,us,Illinois,1984,1999,86.8,1199,31.5,13.3,2.4,5.5,1.6,0.3,0.463,0.494,0.354,0.745,0.11
124,1970,NBA,1,4,BOS,Dave Cowens\cowenda01,21.154,C-F,us,Florida State,1971,1983,86.3,766,38.6,17.6,13.6,3.8,0.8,0.6,0.46,0.46,0.071,0.783,0.14
125,1985,NBA,1,18,DET,Joe Dumars\dumarjo01,22.031,G,us,McNeese State University,1986,1999,86.2,1018,34.5,16.1,2.2,4.5,0.9,0.1,0.46,0.48,0.382,0.843,0.118
126,2012,NBA,1,1,NOH,Anthony Davis\davisan02,19.114,F-C,us,Kentucky,2013,2021,86,553,34.4,23.9,10.3,2.3,1.4,2.4,0.515,0.535,0.314,0.799,0.217
127,2003,NBA,1,18,NOH,David West\westda01,22.306,F-C,us,Xavier,2004,2018,85.9,1034,28.2,13.6,6.4,2.2,0.7,0.8,0.495,0.499,0.265,0.817,0.141
128,1988,NBA,1,19,NYK,Rod Strickland\stricro02,21.358,G,us,DePaul,1989,2005,85.8,1094,30.7,13.2,3.7,7.3,1.5,0.2,0.454,0.465,0.282,0.721,0.122
129,1995,NBA,1,21,PHO,Michael Finley\finlemi01,22.119,G-F,us,Wisconsin,1996,2010,85.2,1103,34.4,15.7,4.4,2.9,0.9,0.3,0.444,0.467,0.375,0.811,0.108
130,1989,NBA,1,14,GSW,Tim Hardaway\hardati01,22.305,G,us,Texas-El Paso,1990,2003,85,867,35.3,17.7,3.3,8.2,1.6,0.1,0.431,0.469,0.355,0.782,0.133
131,2007,NBA,2,48,LAL,Marc Gasol\gasolma01,22.155,C,es,,2009,2021,84.8,884,32.4,14.1,7.4,3.4,0.9,1.4,0.481,0.498,0.358,0.776,0.142
132,1983,NBA,1,9,DAL,Dale Ellis\ellisda01,22.331,G-F,us,Tennessee,1984,2000,84.7,1209,28.8,15.7,3.5,1.4,0.8,0.2,0.479,0.509,0.403,0.784,0.117
133,1993,NBA,1,1,ORL,Chris Webber\webbech01,20.126,F-C,us,Michigan,1994,2008,84.7,831,37.1,20.7,9.8,4.2,1.4,1.4,0.479,0.49,0.299,0.649,0.132
134,1970,NBA,2,18,SDR,Calvin Murphy\murphca01,21.323,G,us,Niagara University,1971,1983,84.1,1002,30.5,17.9,2.1,4.4,1.2,0.1,0.482,0.484,0.139,0.892,0.132
135,1991,NBA,1,5,MIA,Steve Smith\smithst01,22.092,G,us,Michigan State,1992,2005,83.7,942,30.6,14.3,3.2,3.1,0.8,0.3,0.44,0.476,0.358,0.845,0.139
136,1949,BAA,,,MNL,Vern Mikkelsen\mikkeve01,20.156,F-C,us,Hamline University,1950,1959,83.4,699,26.4,14.4,8.5,2.2,,,0.403,0.403,,0.766,0.217
137,1970,NBA,2,19,CIN,Tiny Archibald\architi01,21.207,G,us,Texas-El Paso,1971,1984,83.4,876,35.6,18.8,2.3,7.4,0.8,0.1,0.467,0.469,0.224,0.81,0.128
138,2001,NBA,1,13,HOU,Richard Jefferson\jefferi01,21.011,F,us,Arizona,2002,2018,83,1181,29,12.6,4,2,0.7,0.3,0.464,0.493,0.376,0.768,0.116
139,1950,NBA,2,,WSC,Bill Sharman\sharmbi01,23.341,G,us,USC,1951,1961,82.8,711,30.7,17.8,3.9,3,,,0.426,0.426,,0.883,0.182
140,2001,NBA,1,10,BOS,Joe Johnson\johnsjo02,20.003,G-F,us,Arkansas,2002,2018,82.8,1276,34.7,16,4,3.9,0.8,0.2,0.441,0.472,0.371,0.802,0.09
